,importance
ULTOSC,0.059388183
ROC,0.044241432
SAREXT,0.043765362
AROON_up,0.039361317
TSF,0.03826044
TRANGE,0.032320406
HT_DCPERIOD,0.032275386
ADX,0.02832689
MACD,0.028180687
AROON_down,0.027973108
LINEARREG_ANGLE,0.025404017
STOCHF_fastk,0.024979921
STDDEV,0.024714064
STOCHRSI_fastk,0.021982443
VAR,0.021626288
MOM,0.019151121
TRIX,0.017844694
BB_UPPER,0.017826654
HT_DCPHASE,0.017704573
STOCH_slowk,0.017277725
STOCH_slowd,0.017192107
PLUS_DM,0.01674407
BETA,0.01673128
ATR,0.0164658
ADXR,0.016307523
CMO,0.016292924
HT_PHASOR_quadrature,0.016245658
MACD_hist,0.015184207
MACDEXT_hist,0.015122539
MINUS_DI,0.015034658
STOCHRSI_fastd,0.014838559
DX,0.014646479
APO,0.014587461
CCI,0.01409215
HT_PHASOR_inphase,0.0137942545
SAR,0.013595721
MINUS_DM,0.013260702
Open,0.012987235
NATR,0.012955159
PLUS_DI,0.012311354
HT_SINE_leadsine,0.011244602
BB_LOWER,0.011222283
WILLR,0.011190866
HT_TRENDLINE,0.011033806
HT_SINE_sine,0.01101987
MACDEXT_signal,0.0109767215
MAMA,0.010812476
LINEARREG_INTERCEPT,0.010680273
BOP,0.010643081
CORREL,0.0102092335
STOCHF_fastd,0.00997223
RSI,0.0
KAMA,0.0
AROONOSC,0.0
MA,0.0
PPO,0.0
EMA,0.0
DEMA,0.0
MAVP,0.0
BB_MIDDLE,0.0
Close,0.0
Low,0.0
HT_TRENDMODE,0.0
DEMA_Trend,0.0
FAMA,0.0
SMA,0.0
MIDPOINT,0.0
MIDPRICE,0.0
ROCP,0.0
ROCR,0.0
ROCR100,0.0
MACDFIX_signal,0.0
High,0.0
MACDFIX,0.0
MACDEXT,0.0
MACD_signal,0.0
WMA,0.0
AVGPRICE,0.0
MEDPRICE,0.0
TYPPRICE,0.0
WCLPRICE,0.0
TRIMA,0.0
LINEARREG,0.0
TEMA,0.0
LINEARREG_SLOPE,0.0
T3,0.0
MACDFIX_hist,0.0
SENTIMENT_POSITIVE,0.0
