,importance
AROON_up,0.038739696
ULTOSC,0.03661604
AROON_down,0.024845198
WILLR,0.024546126
MIDPRICE,0.023150861
MACD_signal,0.021404143
STOCHF_fastk,0.02102094
MINUS_DI,0.020656994
STOCHRSI_fastk,0.020308161
TRANGE,0.02001237
TEMA,0.019282883
TRIX,0.019260988
CCI,0.018086081
STOCH_slowk,0.017824905
PLUS_DI,0.016781626
HT_PHASOR_quadrature,0.01625926
DEMA,0.016045323
HT_DCPERIOD,0.015994774
ROCP,0.015227899
MACDEXT,0.015164915
STOCHRSI_fastd,0.015114528
MOM,0.014789011
Close,0.014174334
LINEARREG_ANGLE,0.014165899
Open,0.014115565
SAREXT,0.014025668
PPO,0.013916413
APO,0.013753265
MINUS_DM,0.013389305
TRIMA,0.012981701
RSI,0.012704865
BB_MIDDLE,0.012310342
STOCH_slowd,0.012282826
ROC,0.012245447
PLUS_DM,0.012114992
HT_DCPHASE,0.01176126
SAR,0.011477813
CMO,0.011309903
DX,0.011091937
BETA,0.011064686
MA,0.011062902
NATR,0.011054316
MACD,0.011044111
ADXR,0.010990406
HT_SINE_leadsine,0.010861711
CORREL,0.010790468
STDDEV,0.01070251
HT_PHASOR_inphase,0.010673949
High,0.010638579
KAMA,0.0104879
T3,0.010483191
MACDFIX,0.010404207
BB_LOWER,0.010364634
MACDFIX_signal,0.01024414
MACDEXT_signal,0.01013898
Low,0.010131698
MACDFIX_hist,0.009917981
HT_TRENDLINE,0.009786006
AVGPRICE,0.009776836
MIDPOINT,0.009692269
ADX,0.009686324
BOP,0.009536091
ATR,0.0089477245
VAR,0.00880402
MACDEXT_hist,0.008492712
LINEARREG,0.008464037
BB_UPPER,0.008311202
LINEARREG_INTERCEPT,0.00826644
MACD_hist,0.008161445
HT_SINE_sine,0.008151901
EMA,0.008108746
FAMA,0.007914101
STOCHF_fastd,0.007889494
DEMA_Trend,0.0
HT_TRENDMODE,0.0
MAMA,0.0
MAVP,0.0
SMA,0.0
TSF,0.0
WMA,0.0
ROCR,0.0
ROCR100,0.0
MEDPRICE,0.0
TYPPRICE,0.0
AROONOSC,0.0
WCLPRICE,0.0
LINEARREG_SLOPE,0.0
SENTIMENT_NEGATIVE,0.0
