,importance
T3,0.024362918
RSI,0.022019504
MIDPOINT,0.021642132
SMA,0.021521581
LINEARREG,0.019591339
WMA,0.016792405
LINEARREG_INTERCEPT,0.015477974
TSF,0.015106387
AVGPRICE,0.014943007
AD,0.01473515
TRIX,0.0147172585
PLUS_DI,0.014663601
MACDFIX_hist,0.014661273
MACDEXT,0.014105238
PLUS_DM,0.013965763
ROC,0.013696053
MACD_signal,0.013586724
SAREXT,0.013345952
MACD_hist,0.013295677
WILLR,0.013005965
TEMA,0.012749068
LINEARREG_SLOPE,0.012510077
BB_MIDDLE,0.01245049
STOCHRSI_fastd,0.012407232
Close,0.012247586
ATR,0.012065149
HT_DCPERIOD,0.012055273
TRIMA,0.012043081
FAMA,0.011950167
HT_SINE_leadsine,0.0119010545
MAMA,0.011848726
MFI,0.011738566
MINUS_DI,0.011644987
Change,0.01157684
OBV,0.011555994
ADOSC,0.0115524335
ADX,0.011408273
Previous Day Open Interest,0.01135076
APO,0.011213295
STDDEV,0.011097332
MINUS_DM,0.011046858
MOM,0.010974344
KAMA,0.010941653
MACDEXT_hist,0.010929109
STOCH_slowk,0.010810248
STOCHRSI_fastk,0.010757111
DEMA,0.010730023
PPO,0.010673854
Volume,0.010673705
Open,0.010641605
MACD,0.010612898
STOCH_slowd,0.010575825
TYPPRICE,0.01023388
Last,0.010106403
LINEARREG_ANGLE,0.010072802
HT_DCPHASE,0.010019525
EMA,0.01000104
TRANGE,0.010001004
DX,0.009950521
ADXR,0.009946696
BETA,0.0099432245
MAVP,0.009890698
HT_PHASOR_quadrature,0.009794969
CMO,0.009775959
CORREL,0.009650657
AROONOSC,0.009495905
NATR,0.009456559
MACDFIX,0.009336869
BB_LOWER,0.00931147
STOCHF_fastk,0.009279957
HT_SINE_sine,0.009245987
Low,0.009192808
ULTOSC,0.009057993
MACDFIX_signal,0.008980405
HT_PHASOR_inphase,0.0084325345
HT_TRENDLINE,0.008282805
CCI,0.008012308
VAR,0.007851697
MACDEXT_signal,0.007795498
BOP,0.0077737495
High,0.0077669253
BB_UPPER,0.0076384787
AROON_down,0.0072882543
AROON_up,0.006803227
SAR,0.0065095974
STOCHF_fastd,0.005764017
MEDPRICE,0.0053659687
HT_TRENDMODE,0.0
MIDPRICE,0.0
MA,0.0
ROCR100,0.0
WCLPRICE,0.0
ROCP,0.0
ROCR,0.0
DEMA_Trend,0.0
