,importance
Low,0.0247904
ADX,0.022232046
BB_MIDDLE,0.018331973
LINEARREG_ANGLE,0.0171984
AROONOSC,0.016907686
MA,0.015954785
AROON_up,0.015759243
APO,0.015745627
SAREXT,0.015535054
ROCP,0.015306564
T3,0.015224063
MEDPRICE,0.0150414575
High,0.014964781
MACD_signal,0.0146273235
FAMA,0.014485356
DEMA,0.01447103
ULTOSC,0.014423154
TRIX,0.014395676
ADXR,0.014273711
HT_SINE_sine,0.014206235
ATR,0.014165278
DX,0.014164313
MACDEXT_signal,0.014136822
TSF,0.014078292
STOCH_slowd,0.013975414
EMA,0.013911643
MINUS_DM,0.013775522
MAMA,0.013601877
MACDFIX_hist,0.013231885
STOCH_slowk,0.013209101
PLUS_DI,0.012779929
MACDFIX_signal,0.01262831
VAR,0.012503388
MACD,0.012451202
TRANGE,0.012355221
CORREL,0.012317661
CCI,0.012298167
TYPPRICE,0.012109681
BB_UPPER,0.01198426
HT_PHASOR_quadrature,0.011969475
STOCHRSI_fastk,0.011905443
STDDEV,0.011890482
HT_PHASOR_inphase,0.011846005
WCLPRICE,0.0117490785
BB_LOWER,0.011694079
MOM,0.011457858
WMA,0.011359094
AROON_down,0.011291467
PLUS_DM,0.011213036
MACDEXT_hist,0.011210778
HT_DCPHASE,0.0111205
PPO,0.011066442
BETA,0.0109965
TRIMA,0.010964889
HT_DCPERIOD,0.010891251
MACD_hist,0.01074438
MACDEXT,0.0107327085
STOCHF_fastk,0.0107326135
KAMA,0.010678666
CMO,0.010644409
ROC,0.010576343
MINUS_DI,0.0105480915
HT_SINE_leadsine,0.01048378
SAR,0.010442665
LINEARREG_INTERCEPT,0.010438355
Open,0.010347132
BOP,0.01030376
MACDFIX,0.010183373
WILLR,0.009826345
STOCHRSI_fastd,0.009589054
NATR,0.009526318
TEMA,0.009428477
RSI,0.009063292
HT_TRENDLINE,0.008966489
Close,0.008536596
LINEARREG_SLOPE,0.008535188
MIDPRICE,0.008496978
SMA,0.008452069
MIDPOINT,0.008274051
MAVP,0.008270051
Wave,0.0
Change,0.0
Volume,0.0
DEMA_Trend,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_POSITIVE,0.0
LINEARREG,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_NEGATIVE,0.0
Prev. Day Open Interest,0.0
AVGPRICE,0.0
EFP Volume,0.0
EFS Volume,0.0
Block Volume,0.0
Last,0.0
Previous Day Open Interest,0.0
STOCHF_fastd,0.0
HT_TRENDMODE,0.0
OBV,0.0
ADOSC,0.0
AD,0.0
MFI,0.0
ROCR,0.0
ROCR100,0.0
SENTIMENT_CONSTRAINING,0.0
