,importance
ULTOSC_Buy_Sell_Signal,0.028657516
MA_Trend,0.016886234
ULTOSC,0.015102893
SAR_Trend,0.014846802
LINEARREG,0.010801775
TYPPRICE,0.010708831
DMI_Trend,0.010598339
TSF,0.010471565
HT_SINE_sine,0.010180851
DEMA_Trend,0.0100901555
STOCHF_Buy_Sell_Signal,0.009887101
HT_TRENDLINE_Trend,0.00980929
WILLR_Overbought_Oversold_Signal,0.009599915
PLUS_DM,0.0094415825
STOCH_Overbought_Oversold_Signal,0.009389516
AVGPRICE,0.009312124
RSI,0.009302783
MAMA_Trend,0.0092726415
WILLR,0.009197917
Close,0.009193403
STOCHF_fastk,0.009191817
MAVP,0.009101517
WMA_Trend,0.009089601
BB_Volatility,0.0089602675
ATR,0.0088932365
RSI_Overbought_Oversold_Signal,0.008891912
CORREL,0.008671115
MEDPRICE,0.0086553
TRANGE,0.008639811
KAMA_Trend,0.00862746
MACDFIX,0.008601334
AROON_Down_Trend,0.008568819
WMA,0.00855732
TEMA,0.008545117
STOCHF_Overbought_Oversold_Signal,0.008511013
CMO,0.008470465
NATR,0.008447391
MAMA,0.008378821
MINUS_DI,0.008298274
HT_DCPHASE,0.008293333
VAR,0.008293049
MACDFIX_signal,0.008288977
DX,0.008257097
PLUS_DI,0.008226168
TRIMA,0.0081692925
Adj Close,0.008169037
ADXR,0.008165698
LINEARREG_SLOPE,0.008159986
MACD,0.008139906
TRIX,0.008020509
HT_SINE_leadsine,0.008003584
LINEARREG_INTERCEPT,0.00798028
PPO,0.007934597
STOCHRSI_fastd,0.007928622
CCI_Overbought_Oversold_Signal,0.007893577
MACDEXT_signal,0.007846529
AROON_up,0.007789335
MIDPRICE,0.007777822
WCLPRICE,0.0077577094
BETA,0.0077396934
CCI,0.0077289524
T3,0.0077021723
SAREXT,0.0076878495
TEMA_Trend,0.0076830722
NATR_Volatility,0.007675737
MIDPOINT,0.0076584127
STOCHRSI_Overbought_Oversold_Signal,0.007634285
AROON_down,0.007524479
LINEARREG_ANGLE,0.0075240033
SMA,0.007500968
SAR,0.007478845
MACDFIX_hist,0.00743846
HT_PHASOR_inphase,0.0073680207
EMA,0.0073602716
KAMA,0.0073341914
STOCH_slowd,0.007326612
MACD_Buy_Sell_Signal,0.007277299
MINUS_DM,0.007253173
STOCH_slowk,0.0072506056
HT_PHASOR_quadrature,0.007221173
WILLR_Buy_Sell_Signal,0.007199468
DEMA,0.0071322126
HT_TRENDLINE,0.007052214
ROC,0.00703319
ROCP,0.007018231
STDDEV,0.006992949
MACD_hist,0.0069746776
FAMA,0.0069591333
STOCHRSI_fastk,0.0069407253
BOP_Buy_Sell_Pressure,0.0069196434
MOM,0.006895212
BB_UPPER,0.0068623493
MACDEXT,0.0067710825
APO,0.00675342
High,0.0067340997
MA,0.0066347634
BOP,0.006570552
TRANGE_Volatility,0.0064676176
MACDEXT_hist,0.0064646895
HT_DCPERIOD,0.0064532687
PM_Uptrend,0.0064344993
ADX,0.006388058
MACD_signal,0.006381505
STOCHRSI_Buy_Sell_Signal,0.0063601723
ROCR100,0.006278195
BB_MIDDLE,0.0061749793
Low,0.0061096805
AROONOSC,0.0060520037
MAVP_Trend,0.006048994
STOCHF_fastd,0.0060411827
ATR_Volatility,0.0059741866
HT_TRENDMODE,0.0059602093
BB_LOWER,0.0059326855
SMA_Trend,0.005782189
ROCR,0.005622527
PATTERN_SUM,0.0055558477
Open,0.0055348566
STOCH_Buy_Sell_Signal,0.0053434432
AROON_Up_Trend,0.00489196
MACDEXT_Buy_Sell_Signal,0.0047651627
TRIX_Trend,0.0047351434
DX_Trend,0.004557998
PM_Downtrend,0.0045026704
ADX_Trend,0.0042604455
ADXR_Trend,0.0038592245
T3_Trend,0.0038481588
TRIMA_Trend,0.0034593383
MFI,0.0
SENTIMENT_STRONG_MODAL,0.0
SAREXT_Trend,0.0
MIDPRICE_Trend,0.0
MIDPOINT_Trend,0.0
ULTOSC_Overbought_Oversold_Signal,0.0
EMA_Trend,0.0
SENTIMENT_WEAK_MODAL,0.0
BB_RSI_Reversal,0.0
Volume,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_POSITIVE,0.0
OBV,0.0
SENTIMENT_NEGATIVE,0.0
AD,0.0
ADOSC,0.0
ADOSC_Buy_Sell_Pressure,0.0
BB_Overbought_Oversold_Signal,0.0
OBV_Buy_Sell_Pressure,0.0
ROCP_Trend,0.0
ROCR_Trend,0.0
ROCR100_Trend,0.0
ROC_Buy_Sell_Signal,0.0
ROCP_Buy_Sell_Signal,0.0
ROCR_Buy_Sell_Signal,0.0
ROCR100_Buy_Sell_Signal,0.0
APO_Buy_Sell_Signal,0.0
MACDFIX_Buy_Sell_Signal,0.0
PPO_Buy_Sell_Signal,0.0
MOM_Buy_Sell_Signal,0.0
AROONOSC_Trend,0.0
MFI_Buy_Sell_Pressure,0.0
AD_Buy_Sell_Pressure,0.0
ROC_Trend,0.0
SENTIMENT_CONSTRAINING,0.0
