,importance
SMA,0.022275275
MINUS_DI,0.019713528
RSI,0.018978894
STOCH_slowd,0.018699877
ADX,0.018697957
BETA,0.018661145
Low,0.018625557
MINUS_DM,0.018276997
MACD,0.01816998
DX,0.018083394
WCLPRICE,0.01801963
MAVP,0.018007038
TRANGE,0.017465327
ULTOSC,0.017266307
Open,0.017098421
DEMA,0.01693557
CORREL,0.016511155
MAMA,0.01648486
Close,0.016339893
BB_UPPER,0.016265534
LINEARREG_ANGLE,0.016074961
ROCP,0.016015116
ADXR,0.015668247
STDDEV,0.015574163
AVGPRICE,0.015526197
BB_LOWER,0.015069843
LINEARREG_SLOPE,0.0143438345
CMO,0.014046761
CCI,0.013904614
MEDPRICE,0.013503967
High,0.01344378
TYPPRICE,0.0131899305
MOM,0.01312668
KAMA,0.012995533
VAR,0.012648751
TEMA,0.012481029
MACDFIX_signal,0.012389435
ATR,0.012357171
MACDFIX,0.012103228
BOP,0.0119790835
STOCH_slowk,0.011881695
WILLR,0.011329256
SAR,0.011298871
LINEARREG_INTERCEPT,0.01129828
AROON_down,0.011238886
AROON_up,0.011047394
MACD_hist,0.010435719
ROCR,0.010375637
HT_PHASOR_quadrature,0.010332993
ROC,0.010255501
NATR,0.010086292
MACD_signal,0.0099669155
STOCHF_fastk,0.009917643
T3,0.0097427685
HT_DCPHASE,0.00973758
APO,0.00954249
PPO,0.009471912
TRIX,0.009339735
TSF,0.009336503
PLUS_DI,0.009265854
MACDEXT_signal,0.009251537
MACDEXT,0.009251293
HT_SINE_sine,0.009176279
PLUS_DM,0.009028209
WMA,0.0089789815
EMA,0.008888506
HT_PHASOR_inphase,0.008728007
MA,0.0084373895
HT_SINE_leadsine,0.008020701
MACDEXT_hist,0.007940752
MACDFIX_hist,0.007669125
STOCHRSI_fastd,0.007560667
SAREXT,0.00738121
AROONOSC,0.007340224
STOCHRSI_fastk,0.0070854104
BB_MIDDLE,0.0069516622
STOCHF_fastd,0.0058460855
LINEARREG,0.0055220933
HT_DCPERIOD,0.005400224
TRIMA,0.0047324905
FAMA,0.003888625
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_NEGATIVE,0.0
DEMA_Trend,0.0
Previous Day Open Interest,0.0
MFI,0.0
HT_TRENDLINE,0.0
EFS Volume,0.0
AD,0.0
MIDPRICE,0.0
MIDPOINT,0.0
ADOSC,0.0
Volume,0.0
Wave,0.0
Block Volume,0.0
HT_TRENDMODE,0.0
Last,0.0
ROCR100,0.0
EFP Volume,0.0
Prev. Day Open Interest,0.0
Change,0.0
OBV,0.0
SENTIMENT_CONSTRAINING,0.0
