,importance
ULTOSC,0.060040276
AROON_down,0.03272821
AROON_up,0.028141769
TRANGE,0.024469703
WILLR,0.020408494
STOCHF_fastk,0.019156342
MIDPOINT,0.0149018215
MAVP,0.014090901
TEMA,0.013938205
MINUS_DM,0.013807763
MIDPRICE,0.013367428
SAR,0.013244904
MEDPRICE,0.01321482
MINUS_DI,0.013062134
CMO,0.012994168
KAMA,0.01268013
RSI,0.012419677
CCI,0.012188205
TSF,0.012029316
HT_TRENDLINE,0.011839559
NATR,0.011557364
ADXR,0.011488814
Close,0.011466829
ROC,0.011368653
LINEARREG,0.011297904
MAMA,0.0112706
PLUS_DM,0.011159839
AROONOSC,0.011075973
ROCP,0.010837775
MACDEXT_hist,0.010743725
STOCHF_fastd,0.010585596
SMA,0.010557415
ATR,0.010551376
TRIMA,0.010531353
MACDEXT_signal,0.01048627
BB_UPPER,0.010486099
STOCHRSI_fastd,0.010431651
LINEARREG_ANGLE,0.010411643
STOCH_slowk,0.010407066
MOM,0.010361475
DEMA_Trend,0.0103472425
SAREXT,0.010283374
BB_MIDDLE,0.010258361
ROCR,0.010081756
MACDFIX_signal,0.010074774
DX,0.0100347195
HT_DCPHASE,0.009970437
MACDFIX,0.009955561
PPO,0.009935567
HT_PHASOR_inphase,0.0099108815
EMA,0.009854427
FAMA,0.009815282
MACDFIX_hist,0.0097888345
WMA,0.009767038
MACD,0.009748
PLUS_DI,0.00969529
STOCH_slowd,0.009679936
STOCHRSI_fastk,0.009640776
TRIX,0.009614931
MACD_hist,0.0095935585
HT_PHASOR_quadrature,0.009548348
Low,0.009545988
LINEARREG_INTERCEPT,0.009523872
DEMA,0.009502993
Open,0.0094909035
VAR,0.009346944
MACDEXT,0.009261541
CORREL,0.009213763
MACD_signal,0.009110269
STDDEV,0.00874583
ADX,0.00874456
APO,0.008686557
HT_SINE_sine,0.008621334
BB_LOWER,0.008613478
LINEARREG_SLOPE,0.008436111
BOP,0.00841042
High,0.008261627
BETA,0.008174971
HT_DCPERIOD,0.007947611
MA,0.007939674
WCLPRICE,0.007865824
HT_TRENDMODE,0.0074237636
T3,0.0074156504
HT_SINE_leadsine,0.007335329
TYPPRICE,0.004831413
ROCR100,0.0041493173
AVGPRICE,0.0
