,importance
MA,0.041625936
TYPPRICE,0.03614539
CCI,0.028995285
MACD_hist,0.02608718
ATR,0.023000496
MACDFIX_hist,0.022212464
PLUS_DM,0.021862384
STDDEV,0.020301625
TRIX,0.020241247
MACD,0.01982734
VAR,0.019374643
STOCHF_fastk,0.018755112
TRANGE,0.01816729
BOP,0.016740534
MACD_signal,0.01648426
MACDEXT_hist,0.016310068
RSI,0.016188363
AROON_down,0.015943732
Close,0.015688274
STOCHRSI_fastk,0.01550827
AROON_up,0.015443272
HT_TRENDMODE,0.015045952
LINEARREG_ANGLE,0.01491469
MACDEXT_signal,0.014844044
MINUS_DM,0.014760615
MACDFIX,0.014755789
WILLR,0.014532814
Open,0.014125768
PLUS_DI,0.013677926
CMO,0.013387562
BB_UPPER,0.013150012
MAMA,0.013001422
STOCHRSI_fastd,0.012853551
HT_DCPERIOD,0.012461903
HT_DCPHASE,0.012410118
HT_SINE_sine,0.012237937
ROCP,0.011777786
ADX,0.011617495
SAR,0.01118819
High,0.011095189
AROONOSC,0.010865831
MAVP,0.010636459
HT_PHASOR_inphase,0.010223648
PPO,0.010211256
Low,0.009947944
APO,0.009868504
SAREXT,0.009659829
HT_PHASOR_quadrature,0.009477701
STOCH_slowk,0.009450631
MOM,0.009382901
NATR,0.009236287
MACDFIX_signal,0.009182005
T3,0.009153867
HT_SINE_leadsine,0.0090142125
TSF,0.008963899
STOCH_slowd,0.0088971425
MINUS_DI,0.008880886
LINEARREG_SLOPE,0.008763987
STOCHF_fastd,0.008596103
ULTOSC,0.008527617
ADXR,0.008426491
ROC,0.0080589205
CORREL,0.00771978
DX,0.0076984544
KAMA,0.007285718
LINEARREG_INTERCEPT,0.006984595
MIDPRICE,0.006972666
HT_TRENDLINE,0.0067689675
FAMA,0.0067183333
BB_LOWER,0.006536055
MIDPOINT,0.0062704505
BETA,0.006018067
MACDEXT,0.0059326426
TEMA,0.005647666
BB_MIDDLE,0.005437131
EMA,0.004453039
DEMA,0.0040538674
TRIMA,0.003334501
Volume,0.0
Wave,0.0
Change,0.0
Prev. Day Open Interest,0.0
LINEARREG,0.0
MFI,0.0
DEMA_Trend,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_NEGATIVE,0.0
Previous Day Open Interest,0.0
WCLPRICE,0.0
EFP Volume,0.0
MEDPRICE,0.0
AVGPRICE,0.0
EFS Volume,0.0
Block Volume,0.0
Last,0.0
OBV,0.0
ADOSC,0.0
AD,0.0
SMA,0.0
WMA,0.0
ROCR100,0.0
ROCR,0.0
SENTIMENT_CONSTRAINING,0.0
