,importance
ULTOSC,0.054341696
AROON_up,0.038706288
AROON_down,0.024184354
WILLR,0.022626363
HT_DCPERIOD,0.021902882
TRANGE,0.021600049
STOCHF_fastk,0.02079806
LINEARREG,0.01845067
T3,0.0161787
CCI,0.016088553
TSF,0.015280126
DX,0.015148837
MINUS_DI,0.01440372
PLUS_DI,0.014176861
STDDEV,0.0140932
ATR,0.014016525
ROCR100,0.013908477
STOCHF_fastd,0.0137201045
BB_UPPER,0.013604212
STOCHRSI_fastk,0.013518178
TRIX,0.0132303005
VAR,0.013207078
MINUS_DM,0.0131618865
SAREXT,0.013095117
CMO,0.013047553
RSI,0.0126901325
SAR,0.011282481
BOP,0.0111306645
NATR,0.01099341
HT_PHASOR_quadrature,0.010833735
MACD_signal,0.010693441
MAVP,0.01068521
FAMA,0.010670659
MACDFIX,0.010612199
PLUS_DM,0.010499428
HT_TRENDLINE,0.01049735
TRIMA,0.010483514
MACD,0.01046071
BETA,0.010225267
EMA,0.010158716
WMA,0.010133667
HT_PHASOR_inphase,0.010117672
LINEARREG_SLOPE,0.0100630475
MAMA,0.010038807
ADX,0.010037296
ROC,0.010002859
AROONOSC,0.009669092
DEMA,0.009595647
Close,0.0094686765
MACDFIX_signal,0.009441384
MOM,0.009431537
STOCHRSI_fastd,0.009396558
LINEARREG_ANGLE,0.009342099
TEMA,0.00930711
MACD_hist,0.009190362
MACDEXT_hist,0.009119945
Open,0.0089046275
MACDEXT_signal,0.0088473745
MA,0.00882528
High,0.008824633
AVGPRICE,0.008690815
STOCH_slowk,0.008607289
ADXR,0.008373896
APO,0.008321261
MACDFIX_hist,0.0082330275
LINEARREG_INTERCEPT,0.008000306
STOCH_slowd,0.007956584
BB_MIDDLE,0.007926894
MIDPOINT,0.007700681
BB_LOWER,0.0076879784
CORREL,0.0075221616
HT_DCPHASE,0.0075001917
MEDPRICE,0.0074597504
PPO,0.0073619615
HT_SINE_leadsine,0.007258886
HT_SINE_sine,0.0070071355
DEMA_Trend,0.0069404203
MACDEXT,0.0067744358
KAMA,0.0065744845
ROCR,0.0064798826
ROCP,0.006115589
Low,0.005890482
TYPPRICE,0.0057884715
HT_TRENDMODE,0.0056385444
MIDPRICE,0.005579734
SMA,0.0044447132
WCLPRICE,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_CONSTRAINING,0.0
