,importance
ROCR100,0.029761218
ROCR,0.026474956
ROC,0.022908157
ROCP,0.022070963
ULTOSC,0.020636661
TRANGE,0.018938543
MACDFIX_signal,0.018565446
MACD_signal,0.018235123
T3,0.017358115
MACDEXT_hist,0.017315134
TSF,0.016207008
LINEARREG,0.016028346
MIDPRICE,0.014813844
BETA,0.014241101
MOM,0.013971769
MACDFIX,0.013783019
ATR,0.013600121
MAMA,0.013478165
FAMA,0.012920061
TYPPRICE,0.012852512
PLUS_DM,0.01279169
MINUS_DI,0.012636894
AROON_down,0.0125055695
MINUS_DM,0.01204819
WILLR,0.012042299
CORREL,0.012020886
Close,0.011995315
MACD,0.011974714
AROONOSC,0.011854886
SAR,0.011660704
STDDEV,0.0115527045
CMO,0.01143854
STOCHF_fastk,0.0114355255
HT_PHASOR_inphase,0.011302802
KAMA,0.011300319
TEMA,0.011211439
MIDPOINT,0.011191775
SAREXT,0.010949201
STOCHF_fastd,0.010860625
VAR,0.010776933
MACDEXT_signal,0.010623884
LINEARREG_ANGLE,0.010603101
BB_MIDDLE,0.010467928
NATR,0.010447469
AROON_up,0.010409897
DX,0.010296582
STOCHRSI_fastd,0.010275096
BB_LOWER,0.010174502
MACDFIX_hist,0.010039025
TRIX,0.009889115
PLUS_DI,0.009706515
MACD_hist,0.009595949
CCI,0.009569327
APO,0.009509032
High,0.009410205
STOCH_slowk,0.009381597
HT_SINE_leadsine,0.009327567
PPO,0.009299201
HT_DCPHASE,0.009287893
RSI,0.009286336
MACDEXT,0.009267716
ADX,0.00917484
EMA,0.009160152
Low,0.009006766
HT_TRENDLINE,0.008986741
BB_UPPER,0.008969555
HT_DCPERIOD,0.008888953
LINEARREG_INTERCEPT,0.008886406
LINEARREG_SLOPE,0.008566618
HT_PHASOR_quadrature,0.008560353
STOCH_slowd,0.008507991
MEDPRICE,0.008484341
MA,0.008475436
TRIMA,0.008366597
MAVP,0.008316147
Open,0.008186091
HT_SINE_sine,0.008078039
DEMA,0.007988388
HT_TRENDMODE,0.007930372
AVGPRICE,0.0077874926
ADXR,0.0077737495
WMA,0.0075969966
SMA,0.007458296
BOP,0.0074413335
STOCHRSI_fastk,0.0072355787
WCLPRICE,0.0055936165
SENTIMENT_UNCERTAINTY,0.0
DEMA_Trend,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_POSITIVE,0.0
OBV,0.0
SENTIMENT_LITIGIOUS,0.0
Change,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
Volume,0.0
Last,0.0
Wave,0.0
Prev. Day Open Interest,0.0
EFP Volume,0.0
EFS Volume,0.0
Block Volume,0.0
ADOSC,0.0
Previous Day Open Interest,0.0
MFI,0.0
AD,0.0
SENTIMENT_CONSTRAINING,0.0
