,importance
ULTOSC,0.020405777
DEMA,0.020270942
AVGPRICE,0.01889363
WMA,0.018347958
ROC,0.01736633
TSF,0.017358668
MOM,0.01730195
TEMA,0.016854005
HT_PHASOR_quadrature,0.01675491
CORREL,0.016685292
WILLR,0.016625501
MEDPRICE,0.01657758
FAMA,0.016423183
LINEARREG_SLOPE,0.01639668
HT_TRENDLINE,0.015998311
TRANGE,0.0156544
LINEARREG,0.015595338
MINUS_DI,0.015456507
PLUS_DM,0.015314465
SAR,0.015190117
T3,0.015145551
MACDFIX_hist,0.015131754
TRIMA,0.015121036
LINEARREG_INTERCEPT,0.014646083
MIDPRICE,0.014645624
MACDEXT_hist,0.014548251
PLUS_DI,0.014371103
ATR,0.013978893
MACD_hist,0.013852746
SAREXT,0.01377124
STOCHRSI_fastk,0.013603709
STDDEV,0.013521594
MA,0.013175906
HT_SINE_leadsine,0.013137232
HT_PHASOR_inphase,0.013064842
MAVP,0.012976414
Close,0.012786148
ADXR,0.012734256
STOCHF_fastk,0.012726929
MACDEXT_signal,0.012711002
MACDFIX_signal,0.012544777
LINEARREG_ANGLE,0.012464333
CCI,0.012439132
MINUS_DM,0.012348526
VAR,0.0117671555
HT_DCPHASE,0.011725614
KAMA,0.011416911
EMA,0.011399542
CMO,0.011323021
STOCHF_fastd,0.01128097
ROCP,0.01123762
AROON_down,0.01113975
High,0.010916606
Low,0.010200329
STOCH_slowk,0.009964546
APO,0.009847012
BB_UPPER,0.00978135
TRIX,0.009750262
NATR,0.009503736
MACD,0.0094801495
BB_MIDDLE,0.009375011
DX,0.009372888
MACDFIX,0.009268685
HT_DCPERIOD,0.009250222
MACD_signal,0.009220048
SMA,0.009029902
MIDPOINT,0.008645164
STOCH_slowd,0.008611606
TYPPRICE,0.008295997
BETA,0.008213908
ROCR,0.00813221
PPO,0.008128138
AROON_up,0.008086571
AROONOSC,0.007808361
BB_LOWER,0.007637881
Open,0.007312548
ADX,0.007109549
MACDEXT,0.0062447283
MAMA,0.006068893
RSI,0.0047655846
HT_SINE_sine,0.0037689195
OBV,0.0
Wave,0.0
Change,0.0
Volume,0.0
DEMA_Trend,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_NEGATIVE,0.0
EFP Volume,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
Prev. Day Open Interest,0.0
Last,0.0
EFS Volume,0.0
Block Volume,0.0
ADOSC,0.0
Previous Day Open Interest,0.0
WCLPRICE,0.0
BOP,0.0
HT_TRENDMODE,0.0
MFI,0.0
ROCR100,0.0
STOCHRSI_fastd,0.0
AD,0.0
SENTIMENT_CONSTRAINING,0.0
