,importance
ULTOSC,0.04819466
MACDEXT,0.044949703
PPO,0.043524917
AROON_down,0.03799543
AROON_up,0.035733476
TRANGE,0.029539714
STOCHF_fastd,0.029487344
APO,0.02894708
STOCH_slowk,0.026175613
STOCHF_fastk,0.023425983
WILLR,0.021810496
STOCHRSI_fastk,0.020541798
SAREXT,0.016966343
MINUS_DI,0.016317466
ADX,0.016018732
KAMA,0.015892778
CCI,0.015854368
HT_DCPHASE,0.014840085
VAR,0.014087684
LINEARREG,0.013898995
STOCH_slowd,0.013510136
AROONOSC,0.013226747
MACD,0.01309886
MINUS_DM,0.013020073
BB_MIDDLE,0.012305158
NATR,0.012065967
LINEARREG_ANGLE,0.011427376
DEMA,0.011146981
STDDEV,0.010920665
Open,0.010337186
Low,0.010269361
ATR,0.010153932
MA,0.010082606
LINEARREG_SLOPE,0.010039688
HT_DCPERIOD,0.00997812
MACDFIX_hist,0.009877063
MAMA,0.009704121
MACDFIX_signal,0.009629194
PLUS_DM,0.0095909815
LINEARREG_INTERCEPT,0.009587644
CMO,0.00936761
MOM,0.009192974
MACD_hist,0.009056998
CORREL,0.008914273
BETA,0.008726585
MACDFIX,0.0085381195
HT_TRENDLINE,0.0084679015
ROC,0.00838297
High,0.008316843
BB_LOWER,0.008234233
WCLPRICE,0.008153733
MACDEXT_hist,0.008107903
ROCR100,0.008103375
BOP,0.008098797
TRIX,0.008003973
HT_SINE_leadsine,0.007995017
PLUS_DI,0.00795774
Close,0.007895544
TEMA,0.0074766646
DX,0.0074441475
RSI,0.0074309334
HT_PHASOR_inphase,0.006832324
HT_PHASOR_quadrature,0.006799886
SAR,0.0067194817
BB_UPPER,0.0063389773
TRIMA,0.006301428
ROCP,0.006219893
MACD_signal,0.0060800966
MAVP,0.0059007187
MIDPOINT,0.005687317
MACDEXT_signal,0.005529705
HT_SINE_sine,0.0053677442
ADXR,0.0050074486
EMA,0.0049180733
STOCHRSI_fastd,0.0042234506
TSF,0.003972807
MEDPRICE,0.0038745145
T3,0.0021852693
HT_TRENDMODE,0.0
FAMA,0.0
TYPPRICE,0.0
MIDPRICE,0.0
SMA,0.0
WMA,0.0
ROCR,0.0
AVGPRICE,0.0
DEMA_Trend,0.0
