,importance
BOP,0.058414686
Change,0.028372822
STOCHRSI_fastk,0.028269622
AROON_up,0.016783964
STOCHF_fastk,0.015548856
APO,0.01533833
Close,0.015160578
RSI,0.014479301
STOCHF_fastd,0.01423803
TRANGE,0.014229703
BB_MIDDLE,0.013101744
STOCH_slowk,0.012966388
AVGPRICE,0.012944097
BB_LOWER,0.012822306
MACD_signal,0.012740149
MINUS_DI,0.012661576
MA,0.01225362
MINUS_DM,0.012218807
STOCHRSI_fastd,0.011972091
OBV,0.011968922
MACDFIX,0.011813209
MACDEXT,0.01181215
MACD,0.011795205
Volume,0.011760309
ULTOSC,0.011655864
Low,0.011577481
ADX,0.011566316
AROONOSC,0.011289385
CMO,0.01108462
PLUS_DI,0.011037824
DX,0.01093785
MOM,0.010779057
STDDEV,0.010610327
PPO,0.010570753
Prev. Day Open Interest,0.010316563
HT_PHASOR_quadrature,0.010210773
STOCH_slowd,0.010196416
DEMA,0.010195327
MACDEXT_signal,0.00994905
HT_SINE_sine,0.009944532
MACDEXT_hist,0.009916221
SAREXT,0.0098880585
MFI,0.009873864
AD,0.009872701
CORREL,0.009829957
Open,0.009786328
BB_UPPER,0.009739824
PLUS_DM,0.009733581
MACD_hist,0.009719478
TRIMA,0.009515509
MACDFIX_hist,0.009503573
CCI,0.009388835
BETA,0.0093799215
MACDFIX_signal,0.009287609
HT_PHASOR_inphase,0.009116009
HT_SINE_leadsine,0.009108749
AROON_down,0.008928009
HT_TRENDLINE,0.008916498
KAMA,0.00875833
HT_DCPERIOD,0.00867788
HT_DCPHASE,0.008673093
LINEARREG_ANGLE,0.008628778
NATR,0.008480818
Wave,0.008468605
ATR,0.008447812
TRIX,0.008410263
TEMA,0.008390311
LINEARREG_INTERCEPT,0.008385829
ADOSC,0.008340792
VAR,0.008326797
High,0.008234075
MAVP,0.008205113
WILLR,0.00817835
ADXR,0.008177029
HT_TRENDMODE,0.0081100855
EFP Volume,0.008048096
MIDPRICE,0.007994994
SAR,0.007976953
T3,0.007909629
TSF,0.007857318
EMA,0.0077432087
MAMA,0.007698901
EFS Volume,0.007697123
ROC,0.007610402
LINEARREG,0.007579775
LINEARREG_SLOPE,0.0075086677
MEDPRICE,0.007033349
SMA,0.0069538527
ROCP,0.006872845
WMA,0.006860449
FAMA,0.00666712
SENTIMENT_NEGATIVE,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
DEMA_Trend,0.0
MIDPOINT,0.0
WCLPRICE,0.0
TYPPRICE,0.0
Block Volume,0.0
Last,0.0
Previous Day Open Interest,0.0
ROCR,0.0
ROCR100,0.0
SENTIMENT_CONSTRAINING,0.0
