,importance
BOP,0.05563292
MIDPOINT,0.051906247
BB_UPPER,0.039779704
MIDPRICE,0.038583014
Change,0.035048857
ROCP,0.030665075
ROCR,0.029439406
LINEARREG_INTERCEPT,0.026810758
STOCHF_fastk,0.026797136
TRANGE,0.02534123
MACDEXT,0.024906011
WILLR,0.024803152
DEMA_Trend,0.021488765
HT_DCPHASE,0.020990888
STOCHRSI_fastk,0.01940641
PLUS_DM,0.018133484
TSF,0.017346013
EMA,0.017085433
TEMA,0.016879162
MAMA,0.016794678
RSI,0.015335355
SAR,0.014418374
MAVP,0.014364733
High,0.013057162
STDDEV,0.012548596
MINUS_DM,0.012093087
MOM,0.01206456
MACDFIX,0.011766562
VAR,0.011529603
Last,0.010746066
MACDEXT_signal,0.010716006
LINEARREG_ANGLE,0.010703775
Low,0.010411913
AROONOSC,0.0103026265
Volume,0.01012229
PLUS_DI,0.009512304
MA,0.009241644
STOCHF_fastd,0.009169018
MACD,0.008847757
APO,0.0087341415
Close,0.008718926
STOCH_slowk,0.00851385
ADX,0.008494842
STOCHRSI_fastd,0.008433932
SAREXT,0.008293996
ADXR,0.008274567
SMA,0.008193263
ROC,0.008129212
MINUS_DI,0.008109835
BB_LOWER,0.007752254
Previous Day Open Interest,0.0074725123
MACD_signal,0.007252365
TRIMA,0.0069177165
TRIX,0.006803031
HT_PHASOR_inphase,0.006643802
HT_SINE_sine,0.006534295
AROON_down,0.006487207
MEDPRICE,0.0063626817
CORREL,0.006309416
ULTOSC,0.005886686
HT_TRENDLINE,0.0055797584
PPO,0.005495128
HT_PHASOR_quadrature,0.005486063
CCI,0.005347573
CMO,0.0053381673
Open,0.0051541477
ADOSC,0.0048503224
HT_SINE_leadsine,0.004815959
HT_DCPERIOD,0.004617535
BETA,0.004540392
STOCH_slowd,0.0041676806
ATR,0.004048114
AD,0.00375212
MFI,0.00369868
EFP Volume,0.0
LINEARREG,0.0
BB_MIDDLE,0.0
Block Volume,0.0
LINEARREG_SLOPE,0.0
EFS Volume,0.0
SENTIMENT_NEGATIVE,0.0
Prev. Day Open Interest,0.0
Wave,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
DEMA,0.0
AVGPRICE,0.0
WCLPRICE,0.0
DX,0.0
MACDFIX_hist,0.0
MACDFIX_signal,0.0
MACDEXT_hist,0.0
MACD_hist,0.0
OBV,0.0
NATR,0.0
AROON_up,0.0
TYPPRICE,0.0
WMA,0.0
T3,0.0
FAMA,0.0
HT_TRENDMODE,0.0
ROCR100,0.0
KAMA,0.0
SENTIMENT_CONSTRAINING,0.0
