,importance
BOP,0.05868889
PATTERN_SUM,0.03641871
Change,0.0321759
LINEARREG_SLOPE,0.022336299
ADX,0.020606704
TRANGE,0.017126901
STOCH_slowd,0.01652707
ROC,0.015725488
LINEARREG_ANGLE,0.01534049
AVGPRICE,0.01516342
HT_PHASOR_inphase,0.015159497
MOM,0.014676801
MACD_hist,0.01412425
MACDEXT,0.0135172075
FAMA,0.013166029
ADXR,0.012920953
PLUS_DM,0.011901116
STOCH_slowk,0.011881087
HT_SINE_sine,0.011478955
Volume,0.011457012
HT_SINE_leadsine,0.011439751
EFP Volume,0.011369607
MACDEXT_hist,0.01130869
T3,0.011293312
MAMA,0.011258965
AD,0.011088646
STOCHF_fastk,0.010959034
Wave,0.010699356
Open,0.0106758885
PPO,0.01060476
WILLR,0.010543302
MACDFIX_hist,0.01041176
Close,0.010123481
WCLPRICE,0.0101002185
WMA,0.0098347915
MA,0.009668894
RSI,0.009638031
MIDPOINT,0.009466238
AROONOSC,0.009459449
HT_PHASOR_quadrature,0.0094134305
CMO,0.009407368
DEMA,0.009388278
ROCP,0.009342045
PLUS_DI,0.009331948
TRIX,0.009204501
ULTOSC,0.009183362
STOCHRSI_fastk,0.009133279
MACDEXT_signal,0.00906352
BB_UPPER,0.008938691
STDDEV,0.008910823
BB_LOWER,0.008819992
Low,0.008768254
MEDPRICE,0.008607983
OBV,0.008562757
Prev. Day Open Interest,0.008524544
DX,0.008485826
SAREXT,0.008423508
CCI,0.008419666
NATR,0.0083156945
VAR,0.008223069
APO,0.008218256
MAVP,0.008193585
BB_MIDDLE,0.008077936
MIDPRICE,0.007994334
MACD,0.007966619
MFI,0.007885214
EMA,0.00782713
High,0.0076724896
HT_DCPERIOD,0.0076610143
TEMA,0.0076325354
STOCHF_fastd,0.0076021515
CORREL,0.0075548906
BETA,0.0074951104
HT_TRENDLINE,0.0074704573
STOCHRSI_fastd,0.007451421
LINEARREG_INTERCEPT,0.0072363084
ADOSC,0.007099079
TSF,0.0070134588
AROON_down,0.0069787013
ROCR,0.006956123
MINUS_DI,0.006889862
KAMA,0.00668779
SAR,0.0066866097
LINEARREG,0.006626841
ATR,0.0065111932
MACD_signal,0.0064592552
ROCR100,0.0062313676
HT_DCPHASE,0.006097849
EFS Volume,0.005896854
TRIMA,0.0058236467
Block Volume,0.0057983645
MINUS_DM,0.0057706023
AROON_up,0.0057274834
TYPPRICE,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_POSITIVE,0.0
Last,0.0
MACDFIX,0.0
Previous Day Open Interest,0.0
HT_TRENDMODE,0.0
SMA,0.0
MACDFIX_signal,0.0
SENTIMENT_CONSTRAINING,0.0
