,importance
HT_TRENDLINE,0.05818121
BB_LOWER,0.047078717
CORREL,0.04649638
BOP,0.04439768
ULTOSC,0.030274084
AROONOSC,0.030155903
SAR,0.028655779
PLUS_DI,0.027382966
BETA,0.026286257
AROON_down,0.023818407
ROC,0.022805598
VAR,0.022394031
ADX,0.021702807
HT_DCPHASE,0.019306703
BB_UPPER,0.018157547
STDDEV,0.018123617
STOCH_slowd,0.016894702
TRANGE,0.016752161
STOCHF_fastk,0.016668178
DX,0.016553499
High,0.016271558
CCI,0.016042644
MOM,0.01585624
HT_PHASOR_inphase,0.01578118
Close,0.01577122
CMO,0.015470193
ROCP,0.015126389
RSI,0.015074313
WCLPRICE,0.014435325
ADXR,0.013687078
MACDEXT_hist,0.013178812
HT_SINE_leadsine,0.012831537
ROCR,0.012551602
MACD_hist,0.012290177
MACDEXT_signal,0.011462677
HT_DCPERIOD,0.011046834
Open,0.010860881
MACDFIX_hist,0.010435894
PPO,0.009864478
PLUS_DM,0.009603818
MACDFIX,0.009053772
APO,0.008906619
Low,0.008811047
MACD,0.008643618
LINEARREG_ANGLE,0.008391866
LINEARREG_SLOPE,0.008304788
MACD_signal,0.0073913187
ROCR100,0.007300531
NATR,0.007242472
MACDEXT,0.0071908026
MINUS_DM,0.0071311328
MAVP,0.0071148127
TSF,0.0066449335
MACDFIX_signal,0.0065238625
HT_PHASOR_quadrature,0.006016605
HT_SINE_sine,0.0055219554
MINUS_DI,0.0052243643
TRIX,0.0051293164
STOCHF_fastd,0.0046100593
ATR,0.004423465
MIDPOINT,0.0044135177
TEMA,0.004273936
KAMA,0.0042191288
STOCH_slowk,0.0041867783
DEMA,0.0041487627
EMA,0.0037068408
BB_MIDDLE,0.0036564623
SAREXT,0.0036163854
T3,0.0031884178
AROON_up,0.0027740796
FAMA,0.0025092626
EFP Volume,0.0
LINEARREG,0.0
EFS Volume,0.0
LINEARREG_INTERCEPT,0.0
Prev. Day Open Interest,0.0
DEMA_Trend,0.0
Wave,0.0
Change,0.0
Volume,0.0
Last,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
Block Volume,0.0
MFI,0.0
TYPPRICE,0.0
MEDPRICE,0.0
WMA,0.0
TRIMA,0.0
SMA,0.0
MIDPRICE,0.0
STOCHRSI_fastk,0.0
STOCHRSI_fastd,0.0
WILLR,0.0
AD,0.0
ADOSC,0.0
OBV,0.0
MAMA,0.0
MA,0.0
Previous Day Open Interest,0.0
HT_TRENDMODE,0.0
AVGPRICE,0.0
SENTIMENT_CONSTRAINING,0.0
