,importance
TSF,0.035904687
T3,0.026055416
ULTOSC,0.022197498
WCLPRICE,0.020055216
LINEARREG,0.018118368
LINEARREG_INTERCEPT,0.016760843
TRANGE,0.016479097
MAVP,0.016409095
AVGPRICE,0.014224691
TYPPRICE,0.013997733
MACD_hist,0.013855428
MACDEXT_hist,0.013679949
SAR,0.013602258
MACDFIX_hist,0.013515364
WILLR,0.013511428
STOCHF_fastk,0.013393556
SMA,0.013290861
MIDPRICE,0.013262223
MACDEXT,0.01322673
EMA,0.01315646
PPO,0.013104218
APO,0.012645088
LINEARREG_ANGLE,0.012627553
FAMA,0.01238301
AROON_up,0.01226009
TRIMA,0.012178199
MACDFIX_signal,0.011967253
MAMA,0.011633719
MEDPRICE,0.011621765
STOCHRSI_fastd,0.011621546
SAREXT,0.011611236
ROC,0.011574919
HT_DCPERIOD,0.011549119
BETA,0.011513749
MINUS_DI,0.011425932
AROON_down,0.011338357
MACDFIX,0.011276435
TRIX,0.01123485
MINUS_DM,0.011116131
MIDPOINT,0.010917946
KAMA,0.010856049
HT_TRENDLINE,0.01076883
LINEARREG_SLOPE,0.010757312
CORREL,0.010721413
MACDEXT_signal,0.010709497
BB_LOWER,0.010663572
ROCP,0.010518157
WMA,0.010517655
NATR,0.010489703
CCI,0.010376878
HT_PHASOR_inphase,0.010167991
MOM,0.010154533
DX,0.010135556
PLUS_DM,0.010086412
HT_DCPHASE,0.01007905
PLUS_DI,0.009983575
MACD,0.009979013
VAR,0.009947819
HT_PHASOR_quadrature,0.009887781
ROCR,0.009741157
STOCH_slowk,0.009631674
STDDEV,0.009572583
TEMA,0.009517726
HT_SINE_leadsine,0.009387896
ATR,0.009324608
ADXR,0.009320347
MACD_signal,0.009040052
DEMA,0.009020028
STOCH_slowd,0.008853548
RSI,0.008683281
STOCHRSI_fastk,0.008600923
STOCHF_fastd,0.008488594
BB_MIDDLE,0.008395501
Low,0.008389804
AROONOSC,0.00834266
CMO,0.008339074
BOP,0.00822086
Close,0.00821736
MA,0.008190259
HT_SINE_sine,0.0077988454
BB_UPPER,0.0077922503
ADX,0.0077787824
High,0.00776277
ROCR100,0.007577099
Open,0.0070775766
DEMA_Trend,0.0056754784
HT_TRENDMODE,0.0041604354
OBV,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_NEGATIVE,0.0
Volume,0.0
Change,0.0
Wave,0.0
Prev. Day Open Interest,0.0
EFP Volume,0.0
EFS Volume,0.0
Block Volume,0.0
Last,0.0
Previous Day Open Interest,0.0
MFI,0.0
AD,0.0
ADOSC,0.0
SENTIMENT_CONSTRAINING,0.0
