,importance
Low,0.028246077
HT_SINE_leadsine,0.021484654
MIDPRICE,0.02143304
MEDPRICE,0.019437188
ULTOSC,0.019337967
PLUS_DI,0.017386053
PLUS_DM,0.017226975
Close,0.016562013
MACD,0.015199107
TRANGE,0.015151206
MINUS_DI,0.014971215
Open,0.014870925
MACDEXT,0.0145629905
APO,0.014409157
MIDPOINT,0.013833566
BB_LOWER,0.013801358
High,0.013730017
CCI,0.013667479
DEMA,0.013585155
AVGPRICE,0.01353802
WCLPRICE,0.013516819
LINEARREG,0.0134278955
MINUS_DM,0.013005982
MACD_hist,0.012938553
MA,0.012933862
TEMA,0.01279833
ADX,0.012664399
ROCR,0.012619077
MOM,0.012578372
BB_MIDDLE,0.012445588
ATR,0.012264458
SAR,0.011979999
SMA,0.011950326
BOP,0.011882431
MACDFIX_hist,0.01185051
MAMA,0.011442805
MAVP,0.011297112
ROCR100,0.010984382
AROON_up,0.010940183
CMO,0.010927691
HT_SINE_sine,0.010873015
DX,0.010705338
ADXR,0.010701618
TRIX,0.010502644
ROC,0.010328938
HT_TRENDLINE,0.010247446
TSF,0.010239694
MACDEXT_hist,0.010102337
NATR,0.010054366
WMA,0.010043077
LINEARREG_ANGLE,0.010008044
RSI,0.009895515
WILLR,0.009844465
TRIMA,0.009833565
FAMA,0.009697623
STOCHRSI_fastk,0.00965637
LINEARREG_INTERCEPT,0.009655729
BETA,0.009627992
ROCP,0.0095400335
BB_UPPER,0.009460775
AROON_down,0.009430364
STOCHF_fastk,0.009403771
T3,0.0093724355
STOCH_slowk,0.009310538
STOCH_slowd,0.0092437565
SAREXT,0.009190512
STDDEV,0.009040993
EMA,0.008993391
KAMA,0.0087858355
HT_PHASOR_inphase,0.008691836
HT_PHASOR_quadrature,0.008575362
VAR,0.008469734
PPO,0.008454665
MACDFIX,0.008366859
TYPPRICE,0.008351774
MACDFIX_signal,0.0082722595
CORREL,0.008179199
MACD_signal,0.008026529
STOCHRSI_fastd,0.0077514728
HT_DCPHASE,0.0076544923
HT_DCPERIOD,0.0075491974
LINEARREG_SLOPE,0.007536274
MACDEXT_signal,0.007308005
AROONOSC,0.007052154
STOCHF_fastd,0.0068835043
DEMA_Trend,0.0063189543
HT_TRENDMODE,0.00588455
SENTIMENT_NEGATIVE,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_LITIGIOUS,0.0
Previous Day Open Interest,0.0
Volume,0.0
Change,0.0
Wave,0.0
OBV,0.0
ADOSC,0.0
AD,0.0
Prev. Day Open Interest,0.0
EFP Volume,0.0
EFS Volume,0.0
MFI,0.0
Block Volume,0.0
Last,0.0
SENTIMENT_CONSTRAINING,0.0
