,importance
ULTOSC,0.04392677
ATR,0.032201987
MACD_hist,0.029581828
STOCH_slowd,0.02816493
MACDFIX_hist,0.02780434
HT_TRENDLINE,0.027298931
TRIMA,0.026071953
HT_PHASOR_inphase,0.026055641
AROON_up,0.024340428
MINUS_DM,0.02401911
HT_PHASOR_quadrature,0.023402415
MACDEXT_hist,0.021650018
WILLR,0.021151543
STOCHF_fastk,0.021053666
AROONOSC,0.019881908
ROC,0.018704401
TRANGE,0.01845205
DEMA,0.0180043
ADX,0.017910771
MACDEXT_signal,0.015925558
HT_DCPERIOD,0.015646994
BB_UPPER,0.015599325
LINEARREG_INTERCEPT,0.015223049
CMO,0.015208505
PLUS_DM,0.014905615
SAREXT,0.01371513
LINEARREG_ANGLE,0.013440728
MACD_signal,0.013322249
MACD,0.013124926
Low,0.0127904015
LINEARREG_SLOPE,0.012478039
MINUS_DI,0.0124701485
ROCP,0.012313165
HT_SINE_sine,0.011818719
MACDEXT,0.011652908
TEMA,0.0114949
VAR,0.011308957
APO,0.011236566
EMA,0.011147141
BB_LOWER,0.010960617
BETA,0.010956263
DX,0.0109464275
MOM,0.010924913
PLUS_DI,0.010906377
AROON_down,0.010776443
SAR,0.01056177
RSI,0.010454659
T3,0.010185228
HT_DCPHASE,0.010025193
MACDFIX_signal,0.009811702
NATR,0.009679164
Open,0.009410524
CORREL,0.009069402
MACDFIX,0.008761238
FAMA,0.008739808
CCI,0.008733682
STOCH_slowk,0.008672312
TRIX,0.008541595
BOP,0.008346655
High,0.008196517
BB_MIDDLE,0.0077849356
HT_SINE_leadsine,0.0077573853
MAMA,0.0074327863
STOCHF_fastd,0.0074058203
STOCHRSI_fastk,0.0056029386
Close,0.005233224
LINEARREG,0.004944776
ADXR,0.004122532
MA,0.0038719687
STDDEV,0.0033726993
STOCHRSI_fastd,0.0033104257
Prev. Day Open Interest,0.0
WCLPRICE,0.0
Change,0.0
Wave,0.0
MFI,0.0
Volume,0.0
TSF,0.0
MEDPRICE,0.0
DEMA_Trend,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
TYPPRICE,0.0
Previous Day Open Interest,0.0
AVGPRICE,0.0
MAVP,0.0
PPO,0.0
WMA,0.0
SMA,0.0
ROCR,0.0
ROCR100,0.0
MIDPRICE,0.0
MIDPOINT,0.0
AD,0.0
HT_TRENDMODE,0.0
ADOSC,0.0
OBV,0.0
KAMA,0.0
Last,0.0
Block Volume,0.0
EFS Volume,0.0
EFP Volume,0.0
SENTIMENT_CONSTRAINING,0.0
