,importance
MA,0.079790436
PLUS_DM,0.055635083
MACDFIX_hist,0.05529431
MACD_signal,0.054914344
MACD,0.054455824
MACD_hist,0.05434749
TEMA,0.048286013
ADXR,0.0473941
STOCHF_fastk,0.04648582
DEMA,0.040052608
MAMA,0.03779649
MAVP,0.037744325
MIDPOINT,0.037668545
WILLR,0.033853345
Close,0.031537127
BOP,0.030771412
STOCHRSI_fastk,0.027218973
Low,0.026121467
STOCHF_fastd,0.021733664
ATR,0.021231802
HT_PHASOR_inphase,0.020914245
MINUS_DI,0.016158348
MINUS_DM,0.016080504
High,0.0156035805
SAR,0.015017433
Open,0.011245115
TRANGE,0.011079277
BB_LOWER,0.010981598
STOCH_slowk,0.009022838
NATR,0.007916581
SAREXT,0.0077226562
MACDFIX_signal,0.002625543
MACDEXT_hist,0.0016807198
CCI,0.0016342568
BB_UPPER,0.0015428214
PLUS_DI,0.0014529431
CMO,0.0014344509
T3,0.0010912863
ADX,0.0009911098
ULTOSC,0.0005006569
DX,0.00042831452
AROON_down,0.00039860257
CORREL,0.00038388852
AROONOSC,0.0003155471
BB_MIDDLE,0.0002594166
AROON_up,0.00025691287
APO,0.00024474558
RSI,0.0002360476
HT_TRENDLINE,0.00023572205
ROC,0.0002116825
VAR,0.0
HT_DCPERIOD,0.0
HT_DCPHASE,0.0
Volume,0.0
HT_PHASOR_quadrature,0.0
HT_SINE_sine,0.0
HT_SINE_leadsine,0.0
HT_TRENDMODE,0.0
AVGPRICE,0.0
SENTIMENT_WEAK_MODAL,0.0
MEDPRICE,0.0
SENTIMENT_POSITIVE,0.0
TYPPRICE,0.0
SENTIMENT_UNCERTAINTY,0.0
WCLPRICE,0.0
BETA,0.0
SENTIMENT_NEGATIVE,0.0
LINEARREG,0.0
DEMA_Trend,0.0
LINEARREG_ANGLE,0.0
LINEARREG_INTERCEPT,0.0
LINEARREG_SLOPE,0.0
STDDEV,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_LITIGIOUS,0.0
TSF,0.0
MIDPRICE,0.0
EFS Volume,0.0
Change,0.0
MOM,0.0
SMA,0.0
FAMA,0.0
TRIMA,0.0
WMA,0.0
KAMA,0.0
EMA,0.0
MACDEXT,0.0
MACDEXT_signal,0.0
MACDFIX,0.0
MFI,0.0
Previous Day Open Interest,0.0
Last,0.0
Block Volume,0.0
OBV,0.0
PPO,0.0
ROCP,0.0
ROCR,0.0
ROCR100,0.0
STOCH_slowd,0.0
EFP Volume,0.0
Prev. Day Open Interest,0.0
STOCHRSI_fastd,0.0
TRIX,0.0
Wave,0.0
AD,0.0
ADOSC,0.0
SENTIMENT_CONSTRAINING,0.0
