,importance
ULTOSC,0.16779232
TRANGE,0.06277927
AROON_up,0.0622854
CMO,0.05435019
STOCHF_fastk,0.05253822
ROCP,0.04538771
ROC,0.044995915
MOM,0.044596124
CCI,0.04361439
WILLR,0.043541666
AROON_down,0.038155828
RSI,0.037576802
SAREXT,0.03500756
MINUS_DI,0.02594981
STOCH_slowk,0.02558695
HT_PHASOR_inphase,0.025351822
TRIX,0.024018684
PLUS_DM,0.020838516
PLUS_DI,0.019388739
STDDEV,0.019377742
BETA,0.018615514
STOCH_slowd,0.017789155
MACD,0.01716078
MACDFIX,0.015011329
MINUS_DM,0.012421983
DX,0.011645149
MACDEXT_hist,0.007285998
Open,0.00693642
VAR,0.0
BOP,0.0
SENTIMENT_NEGATIVE,0.0
AVGPRICE,0.0
MEDPRICE,0.0
DEMA_Trend,0.0
TYPPRICE,0.0
WCLPRICE,0.0
CORREL,0.0
HT_TRENDMODE,0.0
LINEARREG,0.0
STOCHRSI_fastd,0.0
TSF,0.0
LINEARREG_ANGLE,0.0
STOCHRSI_fastk,0.0
STOCHF_fastd,0.0
AROONOSC,0.0
LINEARREG_INTERCEPT,0.0
LINEARREG_SLOPE,0.0
ADXR,0.0
HT_SINE_sine,0.0
ADX,0.0
HT_SINE_leadsine,0.0
ATR,0.0
HT_PHASOR_quadrature,0.0
SMA,0.0
MIDPRICE,0.0
MIDPOINT,0.0
MAVP,0.0
FAMA,0.0
MAMA,0.0
MA,0.0
KAMA,0.0
HT_TRENDLINE,0.0
EMA,0.0
DEMA,0.0
BB_LOWER,0.0
BB_MIDDLE,0.0
BB_UPPER,0.0
Close,0.0
Low,0.0
SAR,0.0
T3,0.0
HT_DCPHASE,0.0
TEMA,0.0
HT_DCPERIOD,0.0
NATR,0.0
High,0.0
ROCR100,0.0
ROCR,0.0
PPO,0.0
MACDFIX_hist,0.0
MACDFIX_signal,0.0
MACDEXT_signal,0.0
MACDEXT,0.0
MACD_hist,0.0
MACD_signal,0.0
APO,0.0
WMA,0.0
TRIMA,0.0
SENTIMENT_STRONG_MODAL,0.0
