,importance
ULTOSC,0.047363695
AROON_up,0.03092903
Close,0.026417162
TRANGE,0.025760787
MACDFIX,0.02479147
MACDEXT,0.023255318
LINEARREG_SLOPE,0.022683572
AROON_down,0.020983394
BETA,0.019561417
WILLR,0.019543556
SAR,0.019525288
PPO,0.019182103
STOCH_slowd,0.018978
STOCHF_fastk,0.018692931
STOCHF_fastd,0.018470349
APO,0.01736206
ATR,0.017018532
NATR,0.016863877
STOCHRSI_fastk,0.016792975
MACD_hist,0.01657808
MACDFIX_hist,0.016491659
MOM,0.015799949
PLUS_DI,0.015713496
SAREXT,0.015508833
MACD,0.015456556
DEMA_Trend,0.01528932
HT_PHASOR_inphase,0.014729042
TRIX,0.014497383
MINUS_DM,0.014211796
FAMA,0.013921922
ROC,0.013759976
HT_SINE_leadsine,0.013732688
CORREL,0.013721869
STOCH_slowk,0.013287155
STDDEV,0.013127788
ROCR100,0.01260874
MACDFIX_signal,0.012398345
PLUS_DM,0.01238755
HT_SINE_sine,0.012195679
TRIMA,0.012163901
STOCHRSI_fastd,0.011499411
LINEARREG_ANGLE,0.011452867
MACD_signal,0.011299788
ADX,0.011163699
BOP,0.011157321
CMO,0.010948764
MINUS_DI,0.01090466
BB_MIDDLE,0.010803443
MACDEXT_hist,0.010747521
HT_TRENDLINE,0.010550667
KAMA,0.010317784
DEMA,0.009991895
CCI,0.009965138
DX,0.00976375
MACDEXT_signal,0.00965367
HT_TRENDMODE,0.009637302
BB_UPPER,0.009564905
Low,0.008805007
HT_PHASOR_quadrature,0.008728856
HT_DCPERIOD,0.008250998
VAR,0.008057277
ADXR,0.00790136
TSF,0.0072919154
BB_LOWER,0.007187216
MA,0.006714662
Open,0.006453553
RSI,0.006376077
AROONOSC,0.0063139913
High,0.0059060743
MIDPRICE,0.005785647
MAMA,0.0050474815
LINEARREG_INTERCEPT,0.0
T3,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_NEGATIVE,0.0
EMA,0.0
MAVP,0.0
MIDPOINT,0.0
SMA,0.0
WMA,0.0
TEMA,0.0
LINEARREG,0.0
ROCP,0.0
ROCR,0.0
HT_DCPHASE,0.0
AVGPRICE,0.0
MEDPRICE,0.0
TYPPRICE,0.0
WCLPRICE,0.0
SENTIMENT_CONSTRAINING,0.0
