,importance
SAREXT,0.035656266
PLUS_DM,0.03446102
PLUS_DI,0.027114693
Open,0.02592024
Close,0.02357906
Low,0.023161538
AROON_up,0.018495567
MA,0.018173445
FAMA,0.017591098
WMA,0.017350338
ULTOSC,0.01669474
KAMA,0.01542857
High,0.01521984
SAR,0.014538968
AVGPRICE,0.014172903
LINEARREG_ANGLE,0.0138850445
RSI,0.013678678
ADXR,0.013614336
TYPPRICE,0.013588214
LINEARREG_SLOPE,0.01339941
HT_TRENDLINE,0.013335086
TRIMA,0.013170386
STOCHRSI_fastd,0.0131054
TRANGE,0.012980849
MEDPRICE,0.012574721
T3,0.012426656
PATTERN_SUM,0.0123131955
APO,0.012202179
DX,0.011960179
SMA,0.011488417
MIDPOINT,0.0113971215
ROCR,0.011166196
MINUS_DM,0.011154101
LINEARREG_INTERCEPT,0.0109754605
VAR,0.010882282
MACDEXT,0.010863793
MACD,0.010699228
NATR,0.010647492
BB_UPPER,0.0106318
CMO,0.010556237
STDDEV,0.010172978
MINUS_DI,0.009950583
MOM,0.009926486
EMA,0.0098595265
HT_PHASOR_quadrature,0.009802801
ROCP,0.009584419
MACDFIX,0.009574709
WILLR,0.009552574
ROC,0.009508817
STOCHF_fastk,0.009369431
BB_LOWER,0.009239812
HT_SINE_sine,0.009204907
ATR,0.009095314
MACDFIX_signal,0.009073897
MACD_hist,0.00897578
MACDFIX_hist,0.008951688
BB_MIDDLE,0.008947112
MIDPRICE,0.008913533
MAMA,0.008801665
HT_DCPHASE,0.008762948
MACDEXT_hist,0.008743639
AROONOSC,0.008723338
CORREL,0.008557461
LINEARREG,0.008490383
HT_PHASOR_inphase,0.008369132
TEMA,0.008251179
CCI,0.008171062
AROON_down,0.008089164
TSF,0.007968936
ROCR100,0.007936389
STOCH_slowd,0.00788868
PPO,0.00785866
BETA,0.007846431
STOCHRSI_fastk,0.0076992773
ADX,0.007543326
STOCH_slowk,0.0074587064
HT_SINE_leadsine,0.007442907
TRIX,0.007335987
STOCHF_fastd,0.0073043094
MACDEXT_signal,0.0073009944
MACD_signal,0.007293154
HT_DCPERIOD,0.0070781736
DEMA,0.007050544
BOP,0.0068434565
MAVP,0.005230976
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_NEGATIVE,0.0
Volume,0.0
Change,0.0
SENTIMENT_WEAK_MODAL,0.0
Prev. Day Open Interest,0.0
SENTIMENT_STRONG_MODAL,0.0
Wave,0.0
ADOSC,0.0
EFP Volume,0.0
EFS Volume,0.0
WCLPRICE,0.0
Block Volume,0.0
Last,0.0
Previous Day Open Interest,0.0
HT_TRENDMODE,0.0
OBV,0.0
AD,0.0
MFI,0.0
SENTIMENT_CONSTRAINING,0.0
