,importance
MINUS_DI,0.06037538
PLUS_DM,0.045711372
ULTOSC,0.034388237
MAMA,0.03312379
TSF,0.0313398
MINUS_DM,0.029274838
LINEARREG,0.026901575
SAREXT,0.023502918
MIDPOINT,0.020418411
ADXR,0.02025799
SAR,0.019891845
LINEARREG_ANGLE,0.01947825
BETA,0.018184032
TRANGE,0.018032514
MACDEXT,0.017956825
AROON_down,0.016823944
KAMA,0.016255
HT_DCPERIOD,0.01601129
AROON_up,0.015083565
STOCHF_fastd,0.014953031
STOCHRSI_fastk,0.013840918
Low,0.013835172
STOCH_slowd,0.013783279
STOCHF_fastk,0.013630972
LINEARREG_SLOPE,0.013603635
DX,0.013245099
MACDFIX_hist,0.013063377
AVGPRICE,0.013055961
WILLR,0.013001045
MACD,0.012968883
RSI,0.01273388
AROONOSC,0.012429252
CCI,0.012304269
MACDEXT_hist,0.011932406
STOCH_slowk,0.011769811
TEMA,0.01162741
MACDFIX,0.011603454
ADX,0.011411349
PPO,0.011270845
EMA,0.011106057
ATR,0.011095617
MACDFIX_signal,0.010790691
MACD_hist,0.010201183
CORREL,0.010177359
WMA,0.010090228
HT_PHASOR_quadrature,0.009563186
TYPPRICE,0.009408347
CMO,0.009360693
HT_DCPHASE,0.008908503
Close,0.008593763
Open,0.00856899
HT_TRENDLINE,0.008526106
MACD_signal,0.008506482
STDDEV,0.008383708
MOM,0.008233994
VAR,0.008186272
MACDEXT_signal,0.008074254
HT_SINE_leadsine,0.008050949
TRIX,0.007764552
DEMA,0.0070876265
BOP,0.0067552575
BB_UPPER,0.006376683
ROCR100,0.00602731
ROC,0.0057676886
HT_SINE_sine,0.005615179
High,0.005612111
ROCP,0.005414326
BB_LOWER,0.0049450533
APO,0.0048626196
NATR,0.004601749
ROCR,0.0043277694
MA,0.0040576607
PLUS_DI,0.0036870763
BB_MIDDLE,0.0021953543
ADOSC,0.0
EFP Volume,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_NEGATIVE,0.0
DEMA_Trend,0.0
TRIMA,0.0
Volume,0.0
T3,0.0
Change,0.0
LINEARREG_INTERCEPT,0.0
Wave,0.0
Prev. Day Open Interest,0.0
EFS Volume,0.0
OBV,0.0
WCLPRICE,0.0
Block Volume,0.0
MEDPRICE,0.0
Last,0.0
HT_TRENDMODE,0.0
SMA,0.0
MIDPRICE,0.0
Previous Day Open Interest,0.0
HT_PHASOR_inphase,0.0
MAVP,0.0
MFI,0.0
FAMA,0.0
STOCHRSI_fastd,0.0
AD,0.0
SENTIMENT_CONSTRAINING,0.0
