,importance
STDDEV,0.066400096
MOM,0.065838136
Close,0.06506578
ADX,0.05767913
ROCP,0.05499203
Low,0.053329214
MA,0.05310001
BB_LOWER,0.05309518
FAMA,0.053095177
BB_UPPER,0.05285866
BB_MIDDLE,0.0526807
ROC,0.048401643
High,0.03982249
HT_DCPHASE,0.035313047
Open,0.03318486
MINUS_DM,0.033019993
BETA,0.02801004
HT_SINE_leadsine,0.027121887
MACDEXT_hist,0.024888836
MACDEXT,0.023711357
MACDEXT_signal,0.023711357
TRIX,0.015637962
HT_SINE_sine,0.013561031
ROCR,0.008414259
MACD_hist,0.0054445374
HT_PHASOR_quadrature,0.0038382884
AROONOSC,0.003619964
MACDFIX_hist,0.0022025951
HT_DCPERIOD,0.0014186874
CMO,0.00027467453
RSI,0.00026842605
LINEARREG_INTERCEPT,0.0
BOP,0.0
LINEARREG_ANGLE,0.0
LINEARREG_SLOPE,0.0
CORREL,0.0
HT_TRENDMODE,0.0
LINEARREG,0.0
TSF,0.0
DEMA_Trend,0.0
STOCHF_fastd,0.0
WILLR,0.0
VAR,0.0
ULTOSC,0.0
STOCHF_fastk,0.0
STOCHRSI_fastk,0.0
ADXR,0.0
AROON_down,0.0
WCLPRICE,0.0
AROON_up,0.0
DX,0.0
MINUS_DI,0.0
PLUS_DI,0.0
STOCH_slowk,0.0
STOCH_slowd,0.0
STOCHRSI_fastd,0.0
ATR,0.0
TYPPRICE,0.0
TRIMA,0.0
DEMA,0.0
EMA,0.0
HT_TRENDLINE,0.0
KAMA,0.0
MAMA,0.0
MAVP,0.0
MIDPOINT,0.0
MIDPRICE,0.0
SAR,0.0
SAREXT,0.0
SMA,0.0
T3,0.0
TEMA,0.0
WMA,0.0
MEDPRICE,0.0
APO,0.0
CCI,0.0
MACD,0.0
MACD_signal,0.0
MACDFIX,0.0
MACDFIX_signal,0.0
PLUS_DM,0.0
PPO,0.0
ROCR100,0.0
NATR,0.0
TRANGE,0.0
HT_PHASOR_inphase,0.0
AVGPRICE,0.0
SENTIMENT_NEGATIVE,0.0
