,importance
TRANGE,0.04489786
Low,0.02112185
Close,0.019048743
DX,0.017683981
AROONOSC,0.017442474
BOP,0.01661186
STOCHF_fastd,0.016356599
BB_UPPER,0.01630213
ADXR,0.016006082
ROCR,0.015761962
ROCP,0.015504046
DEMA,0.015040602
Open,0.014931675
HT_SINE_leadsine,0.014811785
MACD_hist,0.014787363
MACDFIX_hist,0.014649662
T3,0.014634309
LINEARREG_SLOPE,0.014498402
HT_DCPERIOD,0.014408851
STOCHRSI_fastk,0.01437048
LINEARREG_INTERCEPT,0.014336039
BB_MIDDLE,0.014298247
LINEARREG_ANGLE,0.014160768
STDDEV,0.014090718
MAMA,0.01376575
WMA,0.013637891
HT_DCPHASE,0.013532778
PLUS_DM,0.0134919025
CMO,0.01340915
MACDFIX,0.013229566
VAR,0.013158724
MINUS_DI,0.013000491
MACD,0.012904044
ADX,0.012691021
High,0.012689214
RSI,0.012653056
NATR,0.012571747
PLUS_DI,0.012496495
CCI,0.012467165
MINUS_DM,0.012428488
TRIMA,0.01222923
SAR,0.012225736
TRIX,0.012031472
ATR,0.011950013
MACD_signal,0.01187536
HT_PHASOR_inphase,0.011861237
MA,0.0118485205
MEDPRICE,0.011776225
SAREXT,0.011517239
APO,0.011329243
HT_PHASOR_quadrature,0.011142192
BETA,0.011128632
MACDFIX_signal,0.011109823
MACDEXT,0.011098247
ULTOSC,0.010884985
MACDEXT_signal,0.010717213
STOCHRSI_fastd,0.010582562
SMA,0.010331025
LINEARREG,0.0103012845
TSF,0.0102703385
STOCHF_fastk,0.010094189
EMA,0.009997146
AROON_down,0.009917253
BB_LOWER,0.009885828
AROON_up,0.009680833
STOCH_slowd,0.009583999
MOM,0.009564188
MIDPRICE,0.009132744
CORREL,0.008955089
STOCH_slowk,0.008891768
HT_SINE_sine,0.008825882
TYPPRICE,0.008612894
KAMA,0.008323919
MIDPOINT,0.0082318215
ROC,0.007249039
MACDEXT_hist,0.0067179967
WILLR,0.006509174
MAVP,0.0051850327
WCLPRICE,0.004546674
Change,0.0
SENTIMENT_WEAK_MODAL,0.0
EFP Volume,0.0
Prev. Day Open Interest,0.0
Wave,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_LITIGIOUS,0.0
Volume,0.0
DEMA_Trend,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_NEGATIVE,0.0
HT_TRENDLINE,0.0
TEMA,0.0
MFI,0.0
AVGPRICE,0.0
HT_TRENDMODE,0.0
EFS Volume,0.0
PPO,0.0
ROCR100,0.0
Block Volume,0.0
Last,0.0
Previous Day Open Interest,0.0
OBV,0.0
ADOSC,0.0
AD,0.0
FAMA,0.0
SENTIMENT_CONSTRAINING,0.0
