,importance
ROCR100,0.035602067
TRANGE,0.029328106
AVGPRICE,0.024889067
CCI,0.023535874
ULTOSC,0.022757238
MINUS_DM,0.021863356
STOCHF_fastd,0.021171754
AROON_down,0.021090101
Close,0.019103363
LINEARREG,0.019021716
AROONOSC,0.01816661
T3,0.01731264
STOCHRSI_fastk,0.016029593
SAREXT,0.014677314
ROCP,0.014452265
WCLPRICE,0.014358241
MINUS_DI,0.01419888
PLUS_DM,0.013470526
MOM,0.013444647
BETA,0.01313921
STOCHRSI_fastd,0.012984779
STDDEV,0.012831667
CORREL,0.012783909
TRIMA,0.012753815
MEDPRICE,0.0126933465
MACDFIX,0.012570254
STOCHF_fastk,0.012511231
MACD,0.0123825325
STOCH_slowk,0.012099825
HT_DCPHASE,0.0120046595
AROON_up,0.011940475
MACDEXT,0.011880435
Open,0.0114009185
TRIX,0.011368696
MACD_hist,0.011190323
MACDFIX_hist,0.011185823
FAMA,0.011178115
Low,0.010958732
HT_TRENDLINE,0.010784727
CMO,0.01076518
MIDPRICE,0.010754408
PLUS_DI,0.010712462
TYPPRICE,0.010576629
ADX,0.010498103
PPO,0.010067744
STOCH_slowd,0.010025376
SAR,0.009800262
VAR,0.009752327
KAMA,0.009694898
MACD_signal,0.009625407
APO,0.009606942
BB_LOWER,0.009543407
SMA,0.009528072
MACDEXT_signal,0.009496591
MAMA,0.009417566
DEMA,0.009092038
ADXR,0.0090861935
HT_PHASOR_quadrature,0.009051124
High,0.009019941
RSI,0.00888183
LINEARREG_INTERCEPT,0.00885192
ROCR,0.008845725
WILLR,0.008839291
ROC,0.008836215
BOP,0.008668387
HT_PHASOR_inphase,0.008528934
LINEARREG_SLOPE,0.008421152
BB_MIDDLE,0.008388997
BB_UPPER,0.007871909
DX,0.007824058
MIDPOINT,0.007786528
WMA,0.007707372
MAVP,0.0075348006
ATR,0.0073837233
LINEARREG_ANGLE,0.00721823
EMA,0.0070398054
MA,0.0070315516
MACDFIX_signal,0.00702757
MACDEXT_hist,0.006731626
HT_DCPERIOD,0.0066527585
HT_SINE_leadsine,0.006081162
TEMA,0.005898921
NATR,0.0054919547
HT_SINE_sine,0.0052240114
SENTIMENT_STRONG_MODAL,0.0
TSF,0.0
SENTIMENT_UNCERTAINTY,0.0
DEMA_Trend,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_NEGATIVE,0.0
OBV,0.0
Volume,0.0
Change,0.0
Wave,0.0
Prev. Day Open Interest,0.0
EFP Volume,0.0
EFS Volume,0.0
HT_TRENDMODE,0.0
Block Volume,0.0
Last,0.0
ADOSC,0.0
AD,0.0
Previous Day Open Interest,0.0
MFI,0.0
SENTIMENT_CONSTRAINING,0.0
