,importance
HT_SINE_leadsine,0.034348384
STOCHF_fastk,0.028214337
WILLR,0.027640648
ADXR,0.026814654
AVGPRICE,0.02669098
MA,0.025268609
HT_DCPERIOD,0.024160225
SMA,0.021827891
AROON_up,0.02116024
CORREL,0.020930048
AROONOSC,0.02087954
ADX,0.020014735
STDDEV,0.01985818
MACDFIX_hist,0.019471483
STOCH_slowk,0.019453596
SAREXT,0.019380264
STOCHF_fastd,0.019345514
KAMA,0.019068949
Low,0.018984567
MACDEXT_signal,0.018853355
MOM,0.01878213
HT_PHASOR_quadrature,0.017963074
TRANGE,0.017954426
LINEARREG,0.017340831
EMA,0.017162107
Close,0.016821
SAR,0.016745709
ULTOSC,0.01672354
CCI,0.016656429
DEMA,0.0165839
BB_LOWER,0.016526219
BOP,0.016170027
PLUS_DI,0.015928792
HT_DCPHASE,0.015746526
Open,0.015538684
High,0.015266928
TRIMA,0.0151568595
MACD,0.014841503
MAVP,0.0137407845
BB_UPPER,0.013598035
T3,0.013527886
BB_MIDDLE,0.013320862
MINUS_DM,0.012919997
ROCR,0.012261011
MACD_hist,0.011853244
ROCP,0.011800139
ROCR100,0.011439522
ROC,0.011104087
HT_PHASOR_inphase,0.0108798165
RSI,0.010429108
VAR,0.010096397
CMO,0.009683839
HT_SINE_sine,0.008914564
LINEARREG_SLOPE,0.008433686
PLUS_DM,0.0082285125
ATR,0.008129888
LINEARREG_INTERCEPT,0.006728286
MACDEXT_hist,0.006604549
LINEARREG_ANGLE,0.0063695903
HT_TRENDLINE,0.005466255
TSF,0.0050766217
AROON_down,0.004764945
MINUS_DI,0.0042942567
NATR,0.0029448168
MACD_signal,0.002739857
DX,0.0019431128
BETA,0.0013999224
MACDFIX_signal,0.0010315233
STOCHRSI_fastk,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_NEGATIVE,0.0
DEMA_Trend,0.0
MAMA,0.0
HT_TRENDMODE,0.0
FAMA,0.0
MIDPOINT,0.0
MIDPRICE,0.0
STOCHRSI_fastd,0.0
WMA,0.0
TEMA,0.0
WCLPRICE,0.0
STOCH_slowd,0.0
APO,0.0
MACDEXT,0.0
MACDFIX,0.0
PPO,0.0
TRIX,0.0
MEDPRICE,0.0
TYPPRICE,0.0
SENTIMENT_CONSTRAINING,0.0
