,importance
AVGPRICE,0.120261595
TRIMA,0.119031236
TYPPRICE,0.10172829
ULTOSC,0.06344235
MEDPRICE,0.061936136
FAMA,0.06136502
HT_TRENDLINE,0.055317592
MAMA,0.05475145
High,0.040843703
NATR,0.037092008
ADXR,0.032705016
ADX,0.019675696
BB_MIDDLE,0.019639177
EMA,0.01909547
TRANGE,0.01691225
Low,0.014706379
Open,0.013297207
KAMA,0.013143632
SAR,0.012589176
BB_UPPER,0.011940442
DEMA,0.009015131
CORREL,0.006414318
MIDPRICE,0.0051882933
AROON_up,0.0049891346
STOCH_slowk,0.004941065
MAVP,0.0047520404
TEMA,0.0038757967
RSI,0.003687464
STOCHF_fastk,0.0036276374
BB_LOWER,0.0026735778
PLUS_DI,0.002654597
AROON_down,0.0023664515
T3,0.0022693526
LINEARREG_INTERCEPT,0.0021765751
DX,0.0021664929
CMO,0.0021058223
MA,0.0021021091
SMA,0.00208722
HT_DCPHASE,0.002077965
MACDFIX,0.0020728922
MIDPOINT,0.0020428842
STOCHRSI_fastk,0.0018496487
Close,0.0018353153
HT_SINE_leadsine,0.0016952158
PLUS_DM,0.0016536119
MACDEXT_hist,0.0016258149
MACD_hist,0.0015777593
TRIX,0.0014663005
MACDFIX_hist,0.0014569518
VAR,0.001306122
SAREXT,0.0013000398
CCI,0.0012868528
MACD,0.0012769127
HT_SINE_sine,0.0012344859
MACDEXT,0.0011855345
LINEARREG_SLOPE,0.0010917035
MINUS_DI,0.0010664086
ATR,0.0010593218
MACD_signal,0.0010549973
STDDEV,0.0010407827
BETA,0.0010366247
ROCR100,0.00088494533
STOCHRSI_fastd,0.00088073727
AROONOSC,0.0008769162
APO,0.0008443657
ROC,0.0008150835
MINUS_DM,0.00074017135
MACDEXT_signal,0.0007048713
HT_PHASOR_inphase,0.0006589719
HT_DCPERIOD,0.00062229106
HT_PHASOR_quadrature,0.0006179913
MOM,0.00061323855
ROCP,0.0005570848
ROCR,0.0005234903
LINEARREG_ANGLE,0.0005199446
PPO,0.00027885678
WILLR,0.0
LINEARREG,0.0
Wave,0.0
Change,0.0
TSF,0.0
Volume,0.0
DEMA_Trend,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
Prev. Day Open Interest,0.0
WCLPRICE,0.0
AD,0.0
EFP Volume,0.0
EFS Volume,0.0
Block Volume,0.0
HT_TRENDMODE,0.0
Last,0.0
Previous Day Open Interest,0.0
MFI,0.0
WMA,0.0
STOCH_slowd,0.0
MACDFIX_signal,0.0
STOCHF_fastd,0.0
BOP,0.0
OBV,0.0
ADOSC,0.0
SENTIMENT_CONSTRAINING,0.0
