,importance
TSF,0.045923606
AROON_up,0.035767242
PLUS_DM,0.027207375
ULTOSC,0.02411155
TEMA,0.02299333
AROON_down,0.02240345
MINUS_DI,0.021852424
MIDPOINT,0.021408068
WCLPRICE,0.02129176
RSI,0.021119311
WILLR,0.020647246
STOCHF_fastk,0.020485278
ATR,0.020125562
CMO,0.019934414
LINEARREG_SLOPE,0.019723585
SAR,0.018525852
APO,0.018341945
HT_TRENDLINE,0.017922252
MIDPRICE,0.017567653
TRANGE,0.017268589
MOM,0.01692397
MACDEXT,0.015326111
HT_DCPERIOD,0.0152207855
EMA,0.01514533
MACD,0.015105966
HT_PHASOR_inphase,0.015005546
ADXR,0.014817375
MACDFIX,0.014684207
HT_PHASOR_quadrature,0.014538787
VAR,0.014397136
ROCP,0.014311233
PLUS_DI,0.01416737
ROCR,0.013553835
STDDEV,0.013238299
MACDFIX_signal,0.013132066
MACD_signal,0.013067448
AVGPRICE,0.01302267
NATR,0.012672997
BOP,0.012671353
STOCH_slowk,0.012468855
Close,0.0122249
PPO,0.012178048
STOCHRSI_fastk,0.012071562
BETA,0.011647106
CCI,0.011550779
DEMA,0.011536705
MACDFIX_hist,0.01100374
HT_SINE_sine,0.010558475
Open,0.010539975
DX,0.010111395
BB_LOWER,0.010108687
BB_MIDDLE,0.009778152
ROC,0.0094870515
TRIX,0.009330729
Low,0.009325119
MACDEXT_signal,0.008701195
CORREL,0.007823588
BB_UPPER,0.007713899
ADX,0.0074110646
SAREXT,0.0073910877
High,0.006896963
LINEARREG_ANGLE,0.0068710893
MINUS_DM,0.006557921
MAVP,0.00575631
MACD_hist,0.0052449224
ROCR100,0.0050693094
HT_SINE_leadsine,0.005036672
STOCHRSI_fastd,0.004752441
HT_DCPHASE,0.0044101407
MACDEXT_hist,0.0043706307
STOCHF_fastd,0.0025643392
STOCH_slowd,0.0022630326
MAMA,0.0016211485
HT_TRENDMODE,0.0
DEMA_Trend,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_POSITIVE,0.0
AROONOSC,0.0
KAMA,0.0
MA,0.0
FAMA,0.0
SMA,0.0
T3,0.0
TRIMA,0.0
WMA,0.0
LINEARREG_INTERCEPT,0.0
LINEARREG,0.0
TYPPRICE,0.0
MEDPRICE,0.0
SENTIMENT_STRONG_MODAL,0.0
