,importance
SMA,0.0245129
MA,0.022805477
MOM,0.02077969
ULTOSC,0.019866688
DEMA_Trend,0.019692004
TYPPRICE,0.01828151
ROCR,0.017675733
KAMA,0.017365387
ROCP,0.016623212
ROCR100,0.01659719
MIDPOINT,0.015879357
MACD_hist,0.015760027
MACDFIX_hist,0.0156279
SAREXT,0.015495545
ROC,0.014934756
LINEARREG,0.014826874
MINUS_DM,0.014684058
CORREL,0.014358404
MIDPRICE,0.014232604
TRIMA,0.013975453
TEMA,0.013944771
FAMA,0.01388695
MAMA,0.0137182465
TRANGE,0.013530287
SAR,0.0134078525
VAR,0.012911826
TSF,0.012859644
STDDEV,0.01270661
WILLR,0.012624272
EMA,0.011900652
STOCHF_fastk,0.01183318
AROON_down,0.011771913
HT_SINE_leadsine,0.011741366
BETA,0.011648394
MEDPRICE,0.011609303
AROON_up,0.011565077
ATR,0.011504985
STOCHRSI_fastd,0.011220162
BB_UPPER,0.011215919
MINUS_DI,0.011114538
HT_TRENDMODE,0.010861496
T3,0.0106785195
MACDEXT_signal,0.010671067
LINEARREG_INTERCEPT,0.0106041245
PLUS_DM,0.010501891
MACDEXT,0.010475511
DEMA,0.010254912
HT_DCPERIOD,0.010245084
MACDFIX_signal,0.010181826
HT_DCPHASE,0.010135374
HT_SINE_sine,0.010109585
HT_TRENDLINE,0.010004672
CCI,0.009877241
PLUS_DI,0.009869313
PPO,0.009860051
TRIX,0.009778518
AROONOSC,0.009693554
HT_PHASOR_quadrature,0.009665725
STOCHRSI_fastk,0.009660428
NATR,0.009602615
RSI,0.009523105
MACD_signal,0.009498805
MACDEXT_hist,0.0094763795
MACDFIX,0.0094080055
LINEARREG_SLOPE,0.0091603
CMO,0.009026541
LINEARREG_ANGLE,0.008948466
MACD,0.008911459
STOCH_slowd,0.008759199
ADX,0.008757344
Low,0.0086368425
BB_LOWER,0.00855488
HT_PHASOR_inphase,0.008444221
APO,0.008391915
DX,0.008144078
BOP,0.008098373
ADXR,0.007897627
MAVP,0.0077129807
Close,0.0076138177
AVGPRICE,0.007083785
High,0.006981294
BB_MIDDLE,0.0068064826
Open,0.006591029
STOCH_slowk,0.00564763
STOCHF_fastd,0.0050678737
WCLPRICE,0.0034353544
OBV,0.0
Wave,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_NEGATIVE,0.0
Volume,0.0
Change,0.0
EFP Volume,0.0
Prev. Day Open Interest,0.0
ADOSC,0.0
EFS Volume,0.0
Block Volume,0.0
Last,0.0
Previous Day Open Interest,0.0
WMA,0.0
MFI,0.0
AD,0.0
SENTIMENT_CONSTRAINING,0.0
