,importance
TRANGE,0.09042023
MAMA,0.033602457
TRIMA,0.03241225
Close,0.03142645
FAMA,0.026776172
WCLPRICE,0.02676435
MAVP,0.02666397
CCI,0.025813185
LINEARREG,0.024903962
TEMA,0.024028618
WILLR,0.022266474
STOCHF_fastk,0.02214261
High,0.02107745
STOCHF_fastd,0.020716598
PPO,0.019498296
PLUS_DM,0.019370344
AROON_up,0.019179234
MIDPRICE,0.019113034
LINEARREG_INTERCEPT,0.018734617
TSF,0.018608233
BB_UPPER,0.018552318
ADXR,0.018128814
NATR,0.016687717
CMO,0.016191728
ATR,0.015719716
MEDPRICE,0.015704133
KAMA,0.015665645
STOCH_slowd,0.015618967
ULTOSC,0.015602054
DX,0.01559857
ADX,0.015519041
TRIX,0.015250273
STOCH_slowk,0.015227412
RSI,0.014933643
PLUS_DI,0.01430879
HT_TRENDLINE,0.013978495
LINEARREG_ANGLE,0.013488309
BOP,0.0130053805
T3,0.013004848
STDDEV,0.0127760675
MACD_hist,0.012743927
MOM,0.012330591
MACDFIX,0.012264851
Low,0.01211088
ROCR,0.012042775
MACDFIX_hist,0.011849482
BB_MIDDLE,0.011519201
MACD_signal,0.011372147
MINUS_DM,0.011366489
MACD,0.011339913
BETA,0.010887321
BB_LOWER,0.01085742
AROON_down,0.010834477
LINEARREG_SLOPE,0.0
TYPPRICE,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
CORREL,0.0
HT_DCPERIOD,0.0
SENTIMENT_POSITIVE,0.0
HT_DCPHASE,0.0
HT_PHASOR_inphase,0.0
SENTIMENT_NEGATIVE,0.0
OBV,0.0
PATTERN_SUM,0.0
HT_PHASOR_quadrature,0.0
HT_SINE_sine,0.0
HT_SINE_leadsine,0.0
HT_TRENDMODE,0.0
AVGPRICE,0.0
VAR,0.0
Open,0.0
MINUS_DI,0.0
ADOSC,0.0
AD,0.0
Volume,0.0
Change,0.0
Wave,0.0
Prev. Day Open Interest,0.0
EFP Volume,0.0
EFS Volume,0.0
Block Volume,0.0
Last,0.0
Previous Day Open Interest,0.0
DEMA,0.0
EMA,0.0
MA,0.0
MIDPOINT,0.0
SAR,0.0
SAREXT,0.0
SMA,0.0
WMA,0.0
APO,0.0
AROONOSC,0.0
MACDEXT,0.0
MACDEXT_signal,0.0
MACDEXT_hist,0.0
MACDFIX_signal,0.0
MFI,0.0
ROC,0.0
ROCP,0.0
ROCR100,0.0
STOCHRSI_fastk,0.0
STOCHRSI_fastd,0.0
SENTIMENT_CONSTRAINING,0.0
