,importance
MACDFIX_hist,0.08263044
ULTOSC,0.069876924
MACD_hist,0.06847498
MACD,0.061655648
TYPPRICE,0.0528668
AVGPRICE,0.05108996
Close,0.04875511
BOP,0.02869943
HT_DCPHASE,0.02562592
MOM,0.024819002
MACD_signal,0.024472864
WMA,0.02429658
HT_DCPERIOD,0.02186164
DEMA,0.020712815
HT_SINE_sine,0.019588212
HT_TRENDLINE,0.019460129
ROCP,0.018752545
EMA,0.017974261
RSI,0.017700022
MA,0.017671231
T3,0.017392194
KAMA,0.016940096
ROCR100,0.01605494
ROC,0.01578682
TRIX,0.015652658
WCLPRICE,0.015618631
BB_MIDDLE,0.014497413
HT_SINE_leadsine,0.014302814
HT_PHASOR_quadrature,0.013963895
SAREXT,0.013445544
BB_LOWER,0.012097588
AROONOSC,0.010178848
MAMA,0.009488394
Open,0.009336303
SAR,0.008771069
High,0.008614972
CMO,0.0076734307
MINUS_DM,0.0073894556
Low,0.0060995803
MAVP,0.004769478
LINEARREG_INTERCEPT,0.004686792
MIDPRICE,0.004369533
MACDEXT_hist,0.0042844177
MINUS_DI,0.0039927363
LINEARREG_ANGLE,0.0037799438
LINEARREG,0.0034251146
BB_UPPER,0.0034004378
BETA,0.0028362358
LINEARREG_SLOPE,0.0028269745
TSF,0.0028055669
ATR,0.0022687288
ADX,0.0020988854
NATR,0.0012881754
WILLR,0.0009580782
STOCHF_fastk,0.0009488983
MIDPOINT,0.00021616824
MACDEXT_signal,0.00020525923
HT_PHASOR_inphase,0.00020372654
APO,0.00017585469
TRANGE,0.0001698741
FAMA,0.0
HT_TRENDMODE,0.0
CORREL,0.0
PLUS_DI,0.0
STOCHRSI_fastd,0.0
STOCHRSI_fastk,0.0
STOCHF_fastd,0.0
DEMA_Trend,0.0
SENTIMENT_POSITIVE,0.0
STOCH_slowd,0.0
STOCH_slowk,0.0
SMA,0.0
TRIMA,0.0
TEMA,0.0
DX,0.0
AROON_up,0.0
AROON_down,0.0
ADXR,0.0
VAR,0.0
CCI,0.0
STDDEV,0.0
MACDEXT,0.0
MACDFIX,0.0
MACDFIX_signal,0.0
PLUS_DM,0.0
PPO,0.0
ROCR,0.0
MEDPRICE,0.0
SENTIMENT_UNCERTAINTY,0.0
