,importance
DX,0.02596505
MINUS_DI,0.024392225
NATR,0.021990804
CORREL,0.020131558
TEMA,0.0184941
BETA,0.018422306
T3,0.01761726
TRANGE,0.017462477
MIDPOINT,0.016606936
TYPPRICE,0.016158454
MIDPRICE,0.015905596
MAVP,0.015775617
ROCR,0.015154026
PLUS_DM,0.015105199
AVGPRICE,0.014915684
LINEARREG,0.014553093
ROCP,0.014155692
MINUS_DM,0.013993982
CCI,0.0139866825
MACDFIX_signal,0.0138743855
LINEARREG_ANGLE,0.013865005
TSF,0.013836394
STOCHRSI_fastk,0.013655508
HT_DCPERIOD,0.013547442
DEMA,0.013539556
AROONOSC,0.0134901125
TRIMA,0.013427007
MAMA,0.013297561
HT_SINE_leadsine,0.013108353
MACDFIX,0.01304912
MEDPRICE,0.012977709
LINEARREG_INTERCEPT,0.012708564
LINEARREG_SLOPE,0.012687249
MACD_hist,0.012210263
SAREXT,0.012148187
HT_DCPHASE,0.012113968
MACDEXT_hist,0.011927945
HT_PHASOR_inphase,0.011538319
MACD,0.011526052
Open,0.011512087
MOM,0.011375785
ATR,0.0113174105
ADX,0.011293165
STOCHF_fastk,0.011239418
ROC,0.011205474
ULTOSC,0.010975426
WMA,0.010850751
SAR,0.010763605
ROCR100,0.010516379
STDDEV,0.010512968
TRIX,0.010493758
STOCH_slowd,0.010488236
WCLPRICE,0.010232609
STOCHF_fastd,0.010205999
HT_TRENDLINE,0.010169935
CMO,0.009971672
MACDFIX_hist,0.009888255
HT_PHASOR_quadrature,0.009782326
Low,0.009757522
WILLR,0.009677573
AROON_up,0.009636394
HT_SINE_sine,0.009057571
BB_UPPER,0.008670385
RSI,0.008639115
BOP,0.008592525
PLUS_DI,0.008424404
Close,0.00832433
EMA,0.008201674
ADXR,0.008146175
BB_LOWER,0.007945506
VAR,0.007859816
PPO,0.0075851646
FAMA,0.007459737
APO,0.0072919414
MA,0.0072344565
MACDEXT,0.0068717413
STOCH_slowk,0.0068469364
KAMA,0.006803593
High,0.00664874
AROON_down,0.0063280775
SMA,0.0062139374
MACDEXT_signal,0.006000499
BB_MIDDLE,0.005868746
STOCHRSI_fastd,0.0053237714
MACD_signal,0.0050150496
PATTERN_SUM,0.0034639388
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_STRONG_MODAL,0.0
Volume,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_UNCERTAINTY,0.0
AD,0.0
Change,0.0
Wave,0.0
Prev. Day Open Interest,0.0
EFP Volume,0.0
EFS Volume,0.0
Block Volume,0.0
Last,0.0
HT_TRENDMODE,0.0
Previous Day Open Interest,0.0
OBV,0.0
ADOSC,0.0
MFI,0.0
SENTIMENT_CONSTRAINING,0.0
