,importance
KAMA,0.079539016
Open,0.07343708
Close,0.06553201
Low,0.05412853
RSI,0.04567331
SAREXT,0.040599905
HT_PHASOR_quadrature,0.039926928
DX,0.039750297
MAMA,0.03779542
NATR,0.03589593
MACDFIX_hist,0.035308335
MACD_signal,0.03484172
TEMA,0.034204166
MACD,0.03393797
MOM,0.033522297
EMA,0.032964803
High,0.032882415
ADXR,0.031670306
AROON_up,0.031230396
BB_MIDDLE,0.023398243
ADX,0.020977544
BB_UPPER,0.015599041
DEMA,0.0122408485
BB_LOWER,0.011893701
MACD_hist,0.011610107
MINUS_DI,0.010112228
TSF,0.009192253
VAR,0.008966159
WILLR,0.008104311
TRANGE,0.0077987676
MINUS_DM,0.007326493
CCI,0.0068711294
STDDEV,0.0067153703
PLUS_DI,0.0047175162
HT_DCPERIOD,0.0037335698
TRIMA,0.002106793
HT_TRENDLINE,0.0020540317
AROON_down,0.0020513034
MACDEXT_signal,0.0020483185
AROONOSC,0.00204279
SAR,0.001690904
STOCHF_fastk,0.0013157167
MEDPRICE,0.0012665218
BOP,0.0007153008
TYPPRICE,0.00067066494
T3,0.0003989815
HT_PHASOR_inphase,0.00034507035
LINEARREG_SLOPE,0.000253661
TRIX,0.00020382555
ATR,0.00019216427
CORREL,0.00018508456
LINEARREG_ANGLE,0.000183608
AVGPRICE,0.00017718715
HT_TRENDMODE,0.0
CMO,0.0
HT_SINE_leadsine,0.0
Volume,0.0
HT_DCPHASE,0.0
WMA,0.0
MAVP,0.0
HT_SINE_sine,0.0
LINEARREG,0.0
WCLPRICE,0.0
BETA,0.0
LINEARREG_INTERCEPT,0.0
MIDPOINT,0.0
SMA,0.0
DEMA_Trend,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
Change,0.0
ADOSC,0.0
OBV,0.0
PPO,0.0
Last,0.0
Block Volume,0.0
MACDEXT,0.0
MACDEXT_hist,0.0
MACDFIX,0.0
MACDFIX_signal,0.0
EFS Volume,0.0
MFI,0.0
EFP Volume,0.0
MA,0.0
Prev. Day Open Interest,0.0
APO,0.0
PLUS_DM,0.0
ROC,0.0
Previous Day Open Interest,0.0
ROCP,0.0
ROCR,0.0
ROCR100,0.0
Wave,0.0
STOCH_slowk,0.0
STOCH_slowd,0.0
MIDPRICE,0.0
STOCHF_fastd,0.0
STOCHRSI_fastk,0.0
STOCHRSI_fastd,0.0
ULTOSC,0.0
FAMA,0.0
AD,0.0
SENTIMENT_CONSTRAINING,0.0
