,importance
ROC,0.04291634
ROCP,0.041529115
ROCR100,0.039773524
ROCR,0.039763685
MAVP,0.037981093
MEDPRICE,0.03478374
WCLPRICE,0.030280415
AVGPRICE,0.029880602
BOP,0.022955917
STDDEV,0.018859234
LINEARREG_SLOPE,0.017744008
LINEARREG,0.01765703
MAMA,0.017610611
VAR,0.017076332
BB_UPPER,0.015573182
MACDEXT,0.014526566
RSI,0.014298605
TRANGE,0.014150573
LINEARREG_ANGLE,0.01386955
AROON_down,0.013821368
TYPPRICE,0.013750171
CMO,0.012891522
CCI,0.012578754
MOM,0.012317614
High,0.012243963
TSF,0.012132632
PLUS_DM,0.01150759
Close,0.010963257
Low,0.010618151
MIDPOINT,0.010510563
APO,0.010380175
SAREXT,0.010237801
PLUS_DI,0.009984235
ULTOSC,0.009936405
STOCH_slowk,0.009933485
LINEARREG_INTERCEPT,0.009829471
STOCH_slowd,0.009828609
MACD_signal,0.009823952
HT_SINE_sine,0.009677224
MIDPRICE,0.009667199
STOCHF_fastk,0.009651715
T3,0.009635912
AROONOSC,0.009463561
HT_DCPERIOD,0.009177525
SAR,0.00906297
MACDEXT_hist,0.008829634
TEMA,0.008773109
MACD_hist,0.00874374
STOCHF_fastd,0.008725477
MINUS_DI,0.008590351
KAMA,0.008443747
MACDFIX_signal,0.008107637
HT_DCPHASE,0.0076711243
DX,0.007572732
Open,0.007368649
MACD,0.0073598796
MINUS_DM,0.00734424
AROON_up,0.007014427
HT_PHASOR_inphase,0.006772362
STOCHRSI_fastd,0.0063428394
TRIX,0.0062323706
EMA,0.00601981
WILLR,0.00599843
CORREL,0.005901595
BB_LOWER,0.005893774
ADXR,0.0057505504
BETA,0.0056156586
MACDEXT_signal,0.0053217774
ATR,0.0052965726
BB_MIDDLE,0.005098848
DEMA_Trend,0.0049814773
MACDFIX,0.004794842
DEMA,0.0047913287
STOCHRSI_fastk,0.004430949
ADX,0.004426023
NATR,0.0042395005
HT_PHASOR_quadrature,0.004090975
MACDFIX_hist,0.0040330053
HT_TRENDLINE,0.0039656
PPO,0.003947802
HT_SINE_leadsine,0.003888254
SMA,0.003773663
FAMA,0.0034906354
MA,0.0032187349
WMA,0.002810358
TRIMA,0.0022529769
HT_TRENDMODE,0.0012185051
SENTIMENT_STRONG_MODAL,0.0
Wave,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_WEAK_MODAL,0.0
Volume,0.0
Change,0.0
AD,0.0
Prev. Day Open Interest,0.0
EFP Volume,0.0
EFS Volume,0.0
Block Volume,0.0
ADOSC,0.0
Last,0.0
Previous Day Open Interest,0.0
MFI,0.0
OBV,0.0
SENTIMENT_CONSTRAINING,0.0
