,importance
AROON_down,0.022029987
ULTOSC,0.02145488
MAVP,0.02132422
WCLPRICE,0.019435888
FAMA,0.019209182
AROON_up,0.019125985
DEMA,0.018619528
SAREXT,0.016214715
TRIX,0.016147802
ATR,0.01550502
MAMA,0.015110204
MINUS_DI,0.014869808
MIDPRICE,0.014564366
STDDEV,0.01440743
NATR,0.014233558
TRANGE,0.013928978
T3,0.0137748495
HT_TRENDLINE,0.013582438
KAMA,0.013450983
TRIMA,0.013314015
STOCHRSI_fastk,0.013252799
MINUS_DM,0.013058396
LINEARREG_INTERCEPT,0.012988915
ROCR,0.012873983
WMA,0.012708501
CCI,0.012673297
MOM,0.012500024
ROCP,0.012491059
MACD_hist,0.012171966
VAR,0.012168202
HT_PHASOR_quadrature,0.012012566
LINEARREG,0.011954049
DX,0.011840355
BOP,0.011696369
MACDEXT_signal,0.011523351
LINEARREG_ANGLE,0.011488885
High,0.011474293
BB_UPPER,0.011396014
ADXR,0.011356872
TSF,0.011318903
LINEARREG_SLOPE,0.011305434
MACDEXT_hist,0.011246786
HT_SINE_leadsine,0.011220296
HT_DCPHASE,0.011165391
EMA,0.0111488635
HT_DCPERIOD,0.01113707
BB_MIDDLE,0.010978497
BETA,0.0109
MACDFIX_signal,0.0108581595
SMA,0.010848788
ADX,0.010652913
STOCHF_fastk,0.010565027
Close,0.010498331
TEMA,0.010437401
AROONOSC,0.010194306
PLUS_DI,0.010146614
MACD_signal,0.010091845
HT_PHASOR_inphase,0.010028118
MIDPOINT,0.010024194
MA,0.010003845
ROC,0.009980343
WILLR,0.009968686
Open,0.009943483
PLUS_DM,0.009773372
CORREL,0.0097726565
STOCHF_fastd,0.009578748
STOCHRSI_fastd,0.009377863
BB_LOWER,0.009239975
MACDFIX_hist,0.009192051
SAR,0.009188418
Low,0.009187511
STOCH_slowd,0.008994425
MACD,0.008987028
MACDEXT,0.008937901
CMO,0.00893457
MACDFIX,0.008917041
PPO,0.008590957
HT_SINE_sine,0.008517123
RSI,0.00838541
STOCH_slowk,0.007684848
TYPPRICE,0.0074552856
APO,0.007279279
SENTIMENT_POSITIVE,0.005536908
AVGPRICE,0.005408577
ROCR100,0.0044630417
MEDPRICE,0.0
HT_TRENDMODE,0.0
DEMA_Trend,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_CONSTRAINING,0.0
