,importance
AVGPRICE,0.028884843
TYPPRICE,0.028687896
WCLPRICE,0.02405519
ROCR100,0.02285587
BOP,0.022451157
ROCR,0.021320067
TRANGE,0.019512294
STOCHF_fastk,0.018436266
WILLR,0.018226784
MINUS_DM,0.017400129
TRIMA,0.016759511
ROCP,0.01616505
PATTERN_SUM,0.016037103
ROC,0.01571333
NATR,0.0155910235
TEMA,0.015546409
LINEARREG,0.015385677
MEDPRICE,0.015211752
PPO,0.014987724
MACDEXT,0.014710889
WMA,0.014632784
ULTOSC,0.014564295
RSI,0.013577963
STOCHRSI_fastk,0.013411558
LINEARREG_SLOPE,0.013106337
LINEARREG_ANGLE,0.012883029
VAR,0.012876528
T3,0.012560268
PLUS_DM,0.0124921445
MACDFIX,0.012430007
LINEARREG_INTERCEPT,0.012343088
ATR,0.012248732
STDDEV,0.011711389
STOCH_slowk,0.011497618
PLUS_DI,0.011437114
STOCHF_fastd,0.011433293
CMO,0.01141994
CORREL,0.011121671
AROONOSC,0.01111287
STOCH_slowd,0.010989435
HT_DCPERIOD,0.010858722
CCI,0.010744504
FAMA,0.010681603
EMA,0.010584152
AROON_up,0.0105264485
HT_SINE_leadsine,0.010507788
MINUS_DI,0.010464657
MAVP,0.010441447
MACDEXT_hist,0.010389521
KAMA,0.010377098
STOCHRSI_fastd,0.009829948
MOM,0.00980966
SAR,0.00965274
MACD_hist,0.009369664
HT_SINE_sine,0.0091193
HT_PHASOR_quadrature,0.008983451
HT_PHASOR_inphase,0.008879754
HT_DCPHASE,0.008875633
MACDFIX_hist,0.00844309
MA,0.008296702
BETA,0.008250604
MACDFIX_signal,0.008232938
DX,0.008224338
TRIX,0.008161818
MACDEXT_signal,0.008068287
MACD,0.007856451
BB_LOWER,0.007749379
SAREXT,0.0076100393
HT_TRENDLINE,0.0073477863
MIDPOINT,0.007337766
DEMA,0.007323092
HT_TRENDMODE,0.0072494554
AROON_down,0.0071729166
APO,0.007055485
MACD_signal,0.0068942527
SMA,0.0065909023
Close,0.00612842
ADXR,0.005736639
BB_UPPER,0.0055094296
Low,0.005400525
MIDPRICE,0.005277096
MAMA,0.005026258
High,0.00494249
Open,0.004931303
BB_MIDDLE,0.004920987
TSF,0.0042760167
ADX,0.0041003823
OBV,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_NEGATIVE,0.0
Volume,0.0
Change,0.0
Prev. Day Open Interest,0.0
Wave,0.0
ADOSC,0.0
EFP Volume,0.0
EFS Volume,0.0
Block Volume,0.0
Last,0.0
Previous Day Open Interest,0.0
MFI,0.0
AD,0.0
SENTIMENT_CONSTRAINING,0.0
