,importance
WCLPRICE,0.024593946
ULTOSC,0.0239154
TRANGE,0.01848094
AVGPRICE,0.016931813
MIDPOINT,0.016487574
TYPPRICE,0.01604598
SMA,0.01501912
WMA,0.01495317
TEMA,0.014880947
HT_TRENDMODE,0.014821083
TSF,0.014779546
T3,0.013985884
LINEARREG,0.013740229
FAMA,0.013546592
WILLR,0.013435969
AROON_down,0.013308987
LINEARREG_INTERCEPT,0.013162441
MINUS_DM,0.013161748
KAMA,0.013096664
STOCHF_fastk,0.0130641
SAR,0.012784586
PLUS_DI,0.012592201
DX,0.012562186
MINUS_DI,0.012435306
HT_PHASOR_inphase,0.012141321
ROCR,0.012055815
MACD,0.012007122
MACDFIX_hist,0.011743855
MAVP,0.011670081
LINEARREG_ANGLE,0.011617568
MACDFIX,0.011586514
BETA,0.011534313
MEDPRICE,0.011490191
ROCR100,0.011487216
NATR,0.011473335
ROCP,0.011462623
DEMA,0.01139509
MAMA,0.011375339
CCI,0.01132835
EMA,0.011266631
CORREL,0.0112574175
PPO,0.011050986
TRIMA,0.01104085
ADX,0.011022592
Close,0.010929028
RSI,0.010927229
MACDEXT_hist,0.0109083485
PLUS_DM,0.010901167
BB_LOWER,0.010687072
ATR,0.0106683085
CMO,0.010667578
VAR,0.010637561
MACD_hist,0.010506777
STOCH_slowk,0.010391037
Low,0.01035049
MOM,0.010307857
STOCHRSI_fastk,0.010195235
STOCHF_fastd,0.010145433
HT_PHASOR_quadrature,0.010133452
MA,0.010004772
HT_DCPHASE,0.009990908
ADXR,0.009980758
TRIX,0.009930111
MACDFIX_signal,0.009783128
HT_TRENDLINE,0.00977074
AROONOSC,0.009707858
HT_DCPERIOD,0.009705698
BOP,0.009622405
HT_SINE_leadsine,0.009591381
APO,0.009590009
ROC,0.009453308
High,0.009431234
MACD_signal,0.009327802
STDDEV,0.009319462
SAREXT,0.009283977
MACDEXT_signal,0.0089147035
LINEARREG_SLOPE,0.008872195
BB_MIDDLE,0.008773754
STOCHRSI_fastd,0.00857602
Open,0.008517693
HT_SINE_sine,0.0084798345
BB_UPPER,0.008472939
AROON_up,0.008140084
STOCH_slowd,0.008066128
MACDEXT,0.00775587
MIDPRICE,0.0073543224
DEMA_Trend,0.0034327072
OBV,0.0
Change,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_NEGATIVE,0.0
Volume,0.0
EFS Volume,0.0
Wave,0.0
Prev. Day Open Interest,0.0
EFP Volume,0.0
ADOSC,0.0
Block Volume,0.0
Last,0.0
Previous Day Open Interest,0.0
MFI,0.0
AD,0.0
SENTIMENT_CONSTRAINING,0.0
