,importance
MINUS_DM,0.07429667
TRANGE,0.07424034
Low,0.06722627
MEDPRICE,0.06250215
SAREXT,0.03284042
STOCHF_fastk,0.029535934
STOCH_slowd,0.028040234
ADXR,0.027168939
STOCHRSI_fastd,0.02698182
MACD_hist,0.02698182
MOM,0.025484016
MACDEXT_hist,0.025465142
SAR,0.02456107
HT_DCPHASE,0.024440708
STOCHRSI_fastk,0.024003467
STDDEV,0.023645801
PLUS_DM,0.02358806
HT_PHASOR_quadrature,0.022246584
HT_SINE_sine,0.021438314
Close,0.020599633
HT_TRENDLINE,0.02045317
Open,0.020278396
BOP,0.018297719
HT_DCPERIOD,0.017453805
CMO,0.017342512
ADX,0.016251538
MINUS_DI,0.016217569
KAMA,0.01565708
SMA,0.015511442
ULTOSC,0.015509966
BB_LOWER,0.015311432
EMA,0.015186912
TRIMA,0.014938754
AVGPRICE,0.014771475
BB_UPPER,0.01432908
High,0.013956981
MIDPRICE,0.012542619
TYPPRICE,0.0104024
BB_MIDDLE,0.0103651695
LINEARREG_INTERCEPT,0.0099779945
STOCH_slowk,0.00995659
HT_PHASOR_inphase,0.0
EFP Volume,0.0
EFS Volume,0.0
Block Volume,0.0
NATR,0.0
ATR,0.0
VAR,0.0
Prev. Day Open Interest,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
OBV,0.0
ADOSC,0.0
AD,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_UNCERTAINTY,0.0
Wave,0.0
TSF,0.0
SENTIMENT_POSITIVE,0.0
HT_SINE_leadsine,0.0
HT_TRENDMODE,0.0
SENTIMENT_NEGATIVE,0.0
WILLR,0.0
PATTERN_SUM,0.0
WCLPRICE,0.0
BETA,0.0
CORREL,0.0
LINEARREG,0.0
LINEARREG_ANGLE,0.0
LINEARREG_SLOPE,0.0
Volume,0.0
Change,0.0
STOCHF_fastd,0.0
TRIX,0.0
AROON_up,0.0
MACD,0.0
DX,0.0
MAMA,0.0
CCI,0.0
FAMA,0.0
AROONOSC,0.0
AROON_down,0.0
Last,0.0
APO,0.0
MAVP,0.0
MIDPOINT,0.0
WMA,0.0
TEMA,0.0
T3,0.0
MACD_signal,0.0
MA,0.0
MACDEXT,0.0
MACDEXT_signal,0.0
MACDFIX,0.0
MACDFIX_signal,0.0
MACDFIX_hist,0.0
MFI,0.0
DEMA,0.0
PLUS_DI,0.0
PPO,0.0
ROC,0.0
ROCP,0.0
ROCR,0.0
ROCR100,0.0
RSI,0.0
Previous Day Open Interest,0.0
SENTIMENT_CONSTRAINING,0.0
