,importance
HT_DCPERIOD,0.051339474
SAREXT,0.050290223
TRANGE,0.040626567
TYPPRICE,0.035029374
AROON_up,0.03275614
STOCH_slowd,0.030977007
AVGPRICE,0.029014653
PLUS_DM,0.028522035
MINUS_DM,0.027701076
MINUS_DI,0.027311772
NATR,0.026899857
CCI,0.026083438
STOCHRSI_fastd,0.024870269
AROONOSC,0.023910908
SAR,0.021922627
VAR,0.020912725
Low,0.018711787
STOCH_slowk,0.017621318
ADXR,0.016981756
ROC,0.016839204
BETA,0.016702197
PLUS_DI,0.016065195
STOCHRSI_fastk,0.015773708
HT_PHASOR_quadrature,0.015730085
MOM,0.015192266
ATR,0.014952894
MACD,0.014151657
AROON_down,0.014131253
MEDPRICE,0.014017515
MIDPRICE,0.013954142
ULTOSC,0.013902468
HT_SINE_leadsine,0.013883889
TRIMA,0.013804658
HT_PHASOR_inphase,0.013488759
STDDEV,0.013288774
STOCHF_fastd,0.013180331
CORREL,0.012972712
ADX,0.012453735
MACDEXT_hist,0.0119765205
HT_DCPHASE,0.011880208
MA,0.010854293
BB_LOWER,0.010766458
BB_UPPER,0.010765531
MAMA,0.010652048
KAMA,0.010347506
SMA,0.009460317
MACDEXT_signal,0.008752743
T3,0.008603673
Close,0.00855208
High,0.008499262
LINEARREG_INTERCEPT,0.0074953777
Open,0.007416113
DEMA,0.00722889
APO,0.006469841
DX,0.0057622334
WILLR,0.0046119727
EMA,0.0044100126
BB_MIDDLE,0.0038697226
MAVP,0.002416905
LINEARREG_ANGLE,0.002249855
HT_TRENDLINE,0.0009900671
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_STRONG_MODAL,0.0
Previous Day Open Interest,0.0
HT_TRENDMODE,0.0
SENTIMENT_LITIGIOUS,0.0
Last,0.0
Block Volume,0.0
EFS Volume,0.0
WCLPRICE,0.0
DEMA_Trend,0.0
Volume,0.0
Prev. Day Open Interest,0.0
LINEARREG,0.0
SENTIMENT_POSITIVE,0.0
HT_SINE_sine,0.0
Wave,0.0
LINEARREG_SLOPE,0.0
SENTIMENT_NEGATIVE,0.0
Change,0.0
TSF,0.0
EFP Volume,0.0
MFI,0.0
MACDFIX_hist,0.0
RSI,0.0
MACDFIX_signal,0.0
MACDFIX,0.0
MACDEXT,0.0
MACD_hist,0.0
PPO,0.0
MACD_signal,0.0
ROCP,0.0
ROCR,0.0
ROCR100,0.0
CMO,0.0
FAMA,0.0
STOCHF_fastk,0.0
BOP,0.0
WMA,0.0
TRIX,0.0
TEMA,0.0
AD,0.0
ADOSC,0.0
OBV,0.0
MIDPOINT,0.0
SENTIMENT_CONSTRAINING,0.0
