,importance
MINUS_DM,0.123176895
HT_DCPERIOD,0.117047645
APO,0.076983124
SAR,0.07352377
MEDPRICE,0.05221941
MACDEXT_hist,0.046498854
ROCP,0.04160253
KAMA,0.038273316
ROC,0.03355997
High,0.032826338
PLUS_DM,0.029870361
SAREXT,0.027987624
BB_LOWER,0.02494905
CCI,0.021017158
Low,0.01968321
MOM,0.01891194
LINEARREG_INTERCEPT,0.016742226
TYPPRICE,0.016116146
ROCR100,0.014399358
WCLPRICE,0.013103895
Close,0.0129182385
EMA,0.012388643
ADXR,0.012326061
ROCR,0.011848506
Open,0.011182713
STOCH_slowd,0.010576777
MIDPRICE,0.010545988
ADX,0.009664142
BB_UPPER,0.0057222783
CMO,0.004486251
RSI,0.004409862
STOCHRSI_fastk,0.003966498
MAMA,0.0032207055
TEMA,0.0031842154
ULTOSC,0.0029632521
AVGPRICE,0.002957263
TRANGE,0.0028272762
HT_SINE_leadsine,0.0026109186
MACD,0.0025726408
T3,0.0024906197
DEMA_Trend,0.0024661354
MACDEXT_signal,0.002057126
MAVP,0.0019089072
HT_SINE_sine,0.0018796877
MACDFIX_hist,0.0018003355
MA,0.0017908001
DEMA,0.0017657215
BB_MIDDLE,0.0017651886
TRIX,0.001731071
TRIMA,0.0015006504
MACD_hist,0.0013427398
HT_PHASOR_inphase,0.001098657
STOCH_slowk,0.0010431766
FAMA,0.0010236979
STOCHF_fastd,0.00094341586
MACDFIX_signal,0.00090362644
LINEARREG_SLOPE,0.0008471521
LINEARREG_ANGLE,0.00078015466
HT_TRENDLINE,0.0007328202
HT_PHASOR_quadrature,0.00068937545
PLUS_DI,0.00057385105
MINUS_DI,0.0
HT_TRENDMODE,0.0
CORREL,0.0
SENTIMENT_POSITIVE,0.0
STOCHF_fastk,0.0
BOP,0.0
DX,0.0
WILLR,0.0
SENTIMENT_NEGATIVE,0.0
STOCHRSI_fastd,0.0
NATR,0.0
AROONOSC,0.0
AROON_up,0.0
MIDPOINT,0.0
SMA,0.0
WMA,0.0
MACD_signal,0.0
MACDEXT,0.0
MACDFIX,0.0
PPO,0.0
ATR,0.0
HT_DCPHASE,0.0
BETA,0.0
LINEARREG,0.0
STDDEV,0.0
TSF,0.0
VAR,0.0
AROON_down,0.0
SENTIMENT_CONSTRAINING,0.0
