,importance
TRANGE,0.03783853
BOP,0.037482027
MINUS_DM,0.02909435
MOM,0.019735372
BB_LOWER,0.018761931
AVGPRICE,0.018539261
MIDPRICE,0.017502904
CCI,0.01739893
ROCP,0.017036987
KAMA,0.016779674
MA,0.016310869
Low,0.015999604
MINUS_DI,0.015789576
LINEARREG,0.015741471
SMA,0.015289067
TEMA,0.01522252
ROCR100,0.014544763
WMA,0.014448246
ROC,0.014314499
HT_SINE_leadsine,0.01428931
TYPPRICE,0.014033284
PLUS_DM,0.0139804315
ULTOSC,0.013374655
MACDFIX_signal,0.013276904
HT_SINE_sine,0.013254419
T3,0.012787149
DEMA,0.012370453
MIDPOINT,0.012202434
STOCHRSI_fastk,0.012092296
ATR,0.011824127
HT_DCPHASE,0.011695258
EMA,0.0115586165
PPO,0.0111475615
MAVP,0.011135417
DX,0.011107041
WCLPRICE,0.011084409
TSF,0.010777682
MACDEXT,0.010567927
LINEARREG_INTERCEPT,0.010550976
MAMA,0.010475914
ADX,0.010440761
MACDFIX,0.010370844
RSI,0.010150536
VAR,0.010131774
STOCH_slowk,0.010115625
PLUS_DI,0.009951734
NATR,0.009951434
MACD,0.009924985
STOCHF_fastk,0.009788935
STOCHRSI_fastd,0.009786376
CORREL,0.0096706655
CMO,0.009487134
STDDEV,0.009376898
High,0.009190075
WILLR,0.00914077
MACDEXT_signal,0.0090960795
BETA,0.009086032
MACDEXT_hist,0.008979143
MEDPRICE,0.008973968
STOCH_slowd,0.008743209
SAR,0.00869609
TRIX,0.0084718885
BB_MIDDLE,0.008412697
ADXR,0.008328857
LINEARREG_ANGLE,0.008286139
Close,0.008168891
HT_PHASOR_inphase,0.008145235
ROCR,0.008057669
HT_PHASOR_quadrature,0.008055629
TRIMA,0.008046826
MACD_hist,0.007927982
MACD_signal,0.007906744
LINEARREG_SLOPE,0.007847376
Open,0.007821839
AROON_down,0.0075214636
HT_TRENDLINE,0.007348785
BB_UPPER,0.007290954
STOCHF_fastd,0.007134976
SAREXT,0.0069623515
MACDFIX_hist,0.0067589935
HT_DCPERIOD,0.0067537855
FAMA,0.0066325446
AROON_up,0.005604754
APO,0.005271835
AROONOSC,0.0047718533
ADOSC,0.0
SENTIMENT_POSITIVE,0.0
Volume,0.0
DEMA_Trend,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_UNCERTAINTY,0.0
Wave,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
Change,0.0
Previous Day Open Interest,0.0
Prev. Day Open Interest,0.0
EFP Volume,0.0
EFS Volume,0.0
Block Volume,0.0
Last,0.0
OBV,0.0
HT_TRENDMODE,0.0
MFI,0.0
AD,0.0
SENTIMENT_CONSTRAINING,0.0
