,importance
NATR,0.12500435
TYPPRICE,0.09905564
AVGPRICE,0.09870343
WCLPRICE,0.09717567
MACD_hist,0.09677028
Open,0.093249366
MINUS_DI,0.082080774
ADXR,0.024325946
ADX,0.022267587
STOCH_slowk,0.02194653
MA,0.021857087
FAMA,0.020952117
AROON_down,0.01973607
HT_SINE_sine,0.01856941
STOCHRSI_fastd,0.015382341
Low,0.015069213
HT_TRENDLINE,0.014271082
MAMA,0.013736051
MOM,0.010641931
EMA,0.010369458
MACD,0.009737711
HT_PHASOR_inphase,0.00944007
DEMA,0.0053540305
BB_LOWER,0.0048728795
TRANGE,0.0043403264
SAR,0.004133232
BETA,0.004011594
MACD_signal,0.0039423984
VAR,0.0036271128
STDDEV,0.0034496507
PLUS_DM,0.0033368438
ROC,0.0033292791
BB_MIDDLE,0.0029237622
HT_DCPHASE,0.0025710657
High,0.0024641305
APO,0.002438382
BB_UPPER,0.0020819982
MACDFIX,0.0016415969
MACDFIX_hist,0.0008724935
MACDEXT,0.00085577066
MINUS_DM,0.0008547293
MACDEXT_hist,0.0007493322
ULTOSC,0.0005381817
AROONOSC,0.00037595077
MIDPOINT,0.0003430518
MIDPRICE,0.00024662694
MAVP,0.0002400695
Close,6.34458e-05
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
HT_DCPERIOD,0.0
CORREL,0.0
SENTIMENT_STRONG_MODAL,0.0
HT_PHASOR_quadrature,0.0
ATR,0.0
OBV,0.0
SENTIMENT_WEAK_MODAL,0.0
ADOSC,0.0
Change,0.0
HT_SINE_leadsine,0.0
LINEARREG,0.0
HT_TRENDMODE,0.0
SENTIMENT_NEGATIVE,0.0
PATTERN_SUM,0.0
Volume,0.0
TSF,0.0
MEDPRICE,0.0
LINEARREG_SLOPE,0.0
LINEARREG_INTERCEPT,0.0
AD,0.0
LINEARREG_ANGLE,0.0
Prev. Day Open Interest,0.0
WILLR,0.0
T3,0.0
CCI,0.0
BOP,0.0
AROON_up,0.0
WMA,0.0
TRIMA,0.0
TEMA,0.0
SMA,0.0
TRIX,0.0
SAREXT,0.0
KAMA,0.0
Previous Day Open Interest,0.0
Last,0.0
Block Volume,0.0
EFS Volume,0.0
CMO,0.0
DX,0.0
Wave,0.0
MACDEXT_signal,0.0
MACDFIX_signal,0.0
MFI,0.0
PLUS_DI,0.0
EFP Volume,0.0
PPO,0.0
ROCP,0.0
ROCR,0.0
ROCR100,0.0
RSI,0.0
STOCH_slowd,0.0
STOCHF_fastk,0.0
STOCHF_fastd,0.0
STOCHRSI_fastk,0.0
SENTIMENT_CONSTRAINING,0.0
