,importance
ULTOSC,0.071352616
AROON_down,0.049871296
AVGPRICE,0.029799327
STOCH_slowd,0.027904807
LINEARREG_SLOPE,0.027513549
TRANGE,0.025873473
AROON_up,0.025249481
AROONOSC,0.024968334
LINEARREG_ANGLE,0.023874564
WILLR,0.023016082
STOCHF_fastk,0.02284368
Low,0.022220766
STDDEV,0.018483652
RSI,0.018161692
STOCHF_fastd,0.017638244
MINUS_DM,0.016946433
ATR,0.016549848
Open,0.016403308
CORREL,0.01631577
TEMA,0.015680004
MACD_hist,0.015625317
HT_SINE_leadsine,0.015528205
PLUS_DI,0.015460619
STOCH_slowk,0.015397685
STOCHRSI_fastd,0.015192464
MACDEXT,0.015135255
PLUS_DM,0.014641476
Close,0.0145759545
MIDPOINT,0.01407694
APO,0.0135940695
MINUS_DI,0.012923488
CCI,0.012919196
MACDFIX_hist,0.012106729
PPO,0.01202946
LINEARREG_INTERCEPT,0.011903079
MACD,0.011826722
NATR,0.011278449
SAR,0.011184177
SAREXT,0.011058245
BETA,0.010702806
VAR,0.010585149
EMA,0.010526362
STOCHRSI_fastk,0.009255225
CMO,0.009241853
HT_PHASOR_inphase,0.008867642
MACDFIX_signal,0.008461917
MACD_signal,0.008163155
DX,0.0080392035
TRIX,0.007979107
MOM,0.007942284
MACDEXT_hist,0.0077358545
ROCP,0.007541937
DEMA,0.0074805124
FAMA,0.0074622505
High,0.0073926067
BB_UPPER,0.007107003
ROC,0.0070084445
BB_LOWER,0.006921553
MACDEXT_signal,0.006807471
ROCR,0.006452748
ROCR100,0.006398998
HT_SINE_sine,0.00632174
HT_TRENDLINE,0.0061581754
HT_DCPERIOD,0.005412842
TRIMA,0.0053250226
ADXR,0.005286664
HT_PHASOR_quadrature,0.004759786
MA,0.00421068
SMA,0.00421068
HT_DCPHASE,0.004068807
BOP,0.0030747692
BB_MIDDLE,0.0030240552
ADX,0.0029483023
WMA,0.0
LINEARREG,0.0
MEDPRICE,0.0
HT_TRENDMODE,0.0
TYPPRICE,0.0
WCLPRICE,0.0
KAMA,0.0
T3,0.0
TSF,0.0
MAMA,0.0
MACDFIX,0.0
MAVP,0.0
MIDPRICE,0.0
DEMA_Trend,0.0
