,importance
TRANGE,0.056335878
MINUS_DI,0.025404187
MEDPRICE,0.023883983
WCLPRICE,0.023399409
Low,0.022162622
AROON_down,0.020368466
MINUS_DM,0.019247102
TRIX,0.016865697
WILLR,0.016005531
CCI,0.015212935
VAR,0.014275582
MAMA,0.013924883
MA,0.013862261
STOCHF_fastk,0.0135103315
WMA,0.013309437
PLUS_DI,0.013239734
CORREL,0.013218411
ADXR,0.0130569795
NATR,0.012924324
PLUS_DM,0.012736414
DEMA,0.0122989
STOCHRSI_fastd,0.012141065
MACDEXT_signal,0.011846419
ATR,0.011740574
KAMA,0.011733567
ADX,0.011687684
MACDFIX_signal,0.01158564
TYPPRICE,0.011531756
ULTOSC,0.011347069
MIDPOINT,0.01131992
STOCHRSI_fastk,0.011111913
TRIMA,0.011075701
STDDEV,0.011056811
HT_PHASOR_inphase,0.01104372
BB_LOWER,0.011039872
SAREXT,0.010872209
BOP,0.010854595
MACD,0.010745
MACD_signal,0.010497124
AROON_up,0.010457812
TSF,0.010226354
HT_PHASOR_quadrature,0.01020633
AROONOSC,0.010196279
HT_SINE_sine,0.010161036
LINEARREG,0.010159357
MACDFIX_hist,0.010148279
MIDPRICE,0.009851373
ROC,0.009756211
DEMA_Trend,0.009752715
STOCHF_fastd,0.0096555445
MOM,0.009649354
BETA,0.009633877
LINEARREG_INTERCEPT,0.0096155675
LINEARREG_SLOPE,0.009609026
SAR,0.009377439
HT_TRENDMODE,0.009347581
MACDEXT,0.009324038
MACD_hist,0.0093136905
Close,0.009248547
HT_DCPERIOD,0.0092264395
STOCH_slowd,0.009225973
STOCH_slowk,0.009172723
DX,0.009125068
CMO,0.009063074
FAMA,0.008991716
HT_DCPHASE,0.008987396
AVGPRICE,0.008933446
MAVP,0.0088089565
Open,0.008760902
MACDFIX,0.008753907
PPO,0.008711635
BB_MIDDLE,0.008635543
T3,0.00856516
LINEARREG_ANGLE,0.008496386
MACDEXT_hist,0.0084379185
RSI,0.008418137
ROCP,0.008107582
HT_SINE_leadsine,0.0076072263
HT_TRENDLINE,0.007499387
APO,0.007316067
BB_UPPER,0.0071936846
EMA,0.007109315
TEMA,0.0069501516
SMA,0.00692077
High,0.0068172836
Change,0.0
Volume,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_POSITIVE,0.0
OBV,0.0
SENTIMENT_UNCERTAINTY,0.0
Prev. Day Open Interest,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
Wave,0.0
Last,0.0
EFP Volume,0.0
EFS Volume,0.0
ROCR,0.0
Block Volume,0.0
Previous Day Open Interest,0.0
ROCR100,0.0
AD,0.0
ADOSC,0.0
MFI,0.0
SENTIMENT_CONSTRAINING,0.0
