,importance
MINUS_DI,0.05624375
TRANGE,0.056026775
ATR,0.049996573
BB_UPPER,0.04640169
BB_MIDDLE,0.046305563
DEMA,0.046252273
TRIX,0.043557893
MINUS_DM,0.040842764
STOCHRSI_fastk,0.03908623
SAR,0.03875645
Close,0.037058212
STOCHRSI_fastd,0.03669603
Open,0.036619168
High,0.03565214
Low,0.03562372
MACD,0.02909314
CCI,0.02573139
MACD_hist,0.024414545
RSI,0.019237192
WCLPRICE,0.019151848
STOCHF_fastk,0.018168254
MAVP,0.017569868
TYPPRICE,0.016331187
MOM,0.015782602
ROC,0.015771488
BOP,0.015675537
MACDFIX_hist,0.015362432
VAR,0.01495182
LINEARREG,0.014890221
LINEARREG_ANGLE,0.014545415
CORREL,0.014206378
MACDFIX,0.013393445
HT_DCPHASE,0.012737645
AVGPRICE,0.012322344
ULTOSC,0.0107364105
STOCH_slowd,0.0077073607
STOCHF_fastd,0.0037007118
STOCH_slowk,0.00339955
AROONOSC,0.0
CMO,0.0
PLUS_DI,0.0
LINEARREG_INTERCEPT,0.0
LINEARREG_SLOPE,0.0
STDDEV,0.0
BETA,0.0
TSF,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_NEGATIVE,0.0
DEMA_Trend,0.0
HT_TRENDMODE,0.0
ADX,0.0
ADXR,0.0
DX,0.0
AROON_down,0.0
WILLR,0.0
AROON_up,0.0
NATR,0.0
MEDPRICE,0.0
WMA,0.0
BB_LOWER,0.0
EMA,0.0
HT_TRENDLINE,0.0
KAMA,0.0
MA,0.0
MAMA,0.0
FAMA,0.0
MIDPOINT,0.0
MIDPRICE,0.0
SAREXT,0.0
SMA,0.0
T3,0.0
TEMA,0.0
TRIMA,0.0
APO,0.0
HT_SINE_leadsine,0.0
MACD_signal,0.0
MACDEXT,0.0
MACDEXT_signal,0.0
MACDEXT_hist,0.0
MACDFIX_signal,0.0
PLUS_DM,0.0
PPO,0.0
ROCP,0.0
ROCR,0.0
ROCR100,0.0
HT_DCPERIOD,0.0
HT_PHASOR_inphase,0.0
HT_PHASOR_quadrature,0.0
HT_SINE_sine,0.0
SENTIMENT_CONSTRAINING,0.0
