,importance
MACDEXT_hist,0.05240603
PATTERN_SUM,0.047847096
BOP,0.038728483
MACD_hist,0.035371676
LINEARREG_SLOPE,0.03145008
MACDFIX_hist,0.02926983
FAMA,0.024061382
STOCHRSI_fastk,0.021018066
TEMA,0.020693164
WILLR,0.020335231
TRIMA,0.019292802
MA,0.018618064
STOCHF_fastk,0.018151067
ATR,0.017671332
TRANGE,0.016807463
SAR,0.016604815
AVGPRICE,0.015997378
Change,0.014057282
WCLPRICE,0.013522796
SAREXT,0.01344767
EMA,0.012731805
HT_TRENDLINE,0.012620279
ULTOSC,0.012464984
MACD_signal,0.011507632
LINEARREG,0.011330757
ROCP,0.010668151
MAVP,0.01062325
Close,0.010203975
SMA,0.010099315
MINUS_DM,0.009462608
Previous Day Open Interest,0.009192122
VAR,0.008893127
HT_DCPHASE,0.008709982
MACDFIX,0.008657807
PLUS_DI,0.008646232
Low,0.0084871445
MACD,0.008471443
ROCR,0.008293495
KAMA,0.00804541
ADXR,0.008035494
PLUS_DM,0.008032647
BB_LOWER,0.00802117
High,0.007833329
Last,0.007761497
TRIX,0.007739079
STDDEV,0.0075228782
HT_SINE_sine,0.0073059616
BB_UPPER,0.007299473
MACDEXT_signal,0.007176774
STOCHRSI_fastd,0.0069368416
NATR,0.0069017303
Volume,0.006849236
AD,0.0067657405
DEMA,0.006552356
CMO,0.0065322774
MACDEXT,0.0064457296
ADX,0.006428693
LINEARREG_INTERCEPT,0.006346441
ROC,0.006315159
MEDPRICE,0.006304572
TYPPRICE,0.006216607
PPO,0.006205523
MACDFIX_signal,0.006127061
HT_PHASOR_inphase,0.006124582
STOCH_slowd,0.006050523
MOM,0.0060404716
Open,0.006039231
MIDPRICE,0.005861036
MINUS_DI,0.0057595707
HT_PHASOR_quadrature,0.005637635
CCI,0.005614454
ADOSC,0.0055872966
OBV,0.0055684587
MFI,0.0053752777
TSF,0.00533888
MAMA,0.0052948096
HT_DCPERIOD,0.0052339095
HT_SINE_leadsine,0.005202686
AROONOSC,0.005108484
APO,0.005055536
BETA,0.00487615
RSI,0.004830974
BB_MIDDLE,0.004756624
DX,0.004655023
STOCHF_fastd,0.004620269
STOCH_slowk,0.0043442897
LINEARREG_ANGLE,0.0042943824
ROCR100,0.0042844014
AROON_down,0.0042310627
AROON_up,0.0042233174
MIDPOINT,0.0039739413
T3,0.0039065485
CORREL,0.0038659468
HT_TRENDMODE,0.0031882257
WMA,0.0029385716
Block Volume,0.0
EFS Volume,0.0
EFP Volume,0.0
Prev. Day Open Interest,0.0
Wave,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_CONSTRAINING,0.0
