,importance
TRANGE,0.07654546
WCLPRICE,0.0334151
MACDFIX_hist,0.03168594
MACD_hist,0.030765358
CCI,0.028917074
Low,0.026490526
MEDPRICE,0.02277587
MACDEXT,0.022118203
ULTOSC,0.021279061
STOCHF_fastk,0.020701628
PLUS_DM,0.020701602
WILLR,0.018806925
DX,0.017886499
PLUS_DI,0.016134607
MINUS_DI,0.0158053
AROON_up,0.015528204
AVGPRICE,0.015513869
STOCHF_fastd,0.015093959
HT_DCPHASE,0.015044456
MACDEXT_signal,0.013769513
Close,0.013296264
MIDPRICE,0.013163358
WMA,0.012781666
FAMA,0.012708938
STOCH_slowk,0.012544306
MIDPOINT,0.0124194985
STDDEV,0.011751665
STOCH_slowd,0.011579328
MA,0.01149904
LINEARREG_INTERCEPT,0.011381193
NATR,0.011311989
High,0.011234967
MINUS_DM,0.0111325355
TRIMA,0.010745666
MACD,0.010679631
LINEARREG_ANGLE,0.010620702
HT_SINE_leadsine,0.01055093
STOCHRSI_fastd,0.010436556
MACDFIX_signal,0.010246398
MACD_signal,0.009887435
VAR,0.009865771
TSF,0.009732715
TRIX,0.009638998
SAR,0.009513539
STOCHRSI_fastk,0.009510004
MAMA,0.00941562
MACDFIX,0.009300764
ATR,0.009241201
LINEARREG,0.009189232
CMO,0.009177515
MOM,0.009052688
KAMA,0.009036306
LINEARREG_SLOPE,0.008916653
BOP,0.0088167945
SAREXT,0.008790355
AROONOSC,0.008746721
EMA,0.008214869
ADXR,0.008149107
ROCP,0.008104491
ROCR,0.008045386
TYPPRICE,0.007996275
HT_TRENDLINE,0.007909918
ROC,0.0077229934
ADX,0.0075279567
CORREL,0.007477128
SMA,0.007441928
MACDEXT_hist,0.00736378
BB_MIDDLE,0.007290518
Open,0.007118997
HT_DCPERIOD,0.0070895925
HT_PHASOR_inphase,0.0070468173
BETA,0.00655259
DEMA,0.0061680023
APO,0.005994461
BB_UPPER,0.004741066
BB_LOWER,0.002781127
HT_SINE_sine,0.0023669084
SENTIMENT_POSITIVE,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
DEMA_Trend,0.0
SENTIMENT_LITIGIOUS,0.0
Block Volume,0.0
SENTIMENT_STRONG_MODAL,0.0
Change,0.0
Wave,0.0
Prev. Day Open Interest,0.0
SENTIMENT_WEAK_MODAL,0.0
EFP Volume,0.0
EFS Volume,0.0
Volume,0.0
RSI,0.0
Last,0.0
Previous Day Open Interest,0.0
ROCR100,0.0
HT_TRENDMODE,0.0
MAVP,0.0
HT_PHASOR_quadrature,0.0
T3,0.0
TEMA,0.0
AROON_down,0.0
OBV,0.0
ADOSC,0.0
AD,0.0
MFI,0.0
PPO,0.0
SENTIMENT_CONSTRAINING,0.0
