,importance
TRANGE,0.031358033
ULTOSC,0.024433048
AVGPRICE,0.021397704
WCLPRICE,0.021217553
WILLR,0.021055665
STOCHF_fastk,0.019940356
MACDEXT_hist,0.01946096
STOCH_slowk,0.018996619
ATR,0.017875273
STOCHF_fastd,0.01785787
DEMA_Trend,0.017612949
BETA,0.016664214
TYPPRICE,0.015427204
MINUS_DI,0.015119416
NATR,0.014895473
LINEARREG,0.014682644
MEDPRICE,0.014655191
BOP,0.014407239
STOCHRSI_fastk,0.014113218
STDDEV,0.014034614
MACDFIX,0.0133821545
MINUS_DM,0.013254416
MACDEXT_signal,0.013251379
AROON_up,0.013227299
VAR,0.013163844
CCI,0.013118766
HT_DCPERIOD,0.013094314
STOCHRSI_fastd,0.012723861
PLUS_DI,0.012676402
TEMA,0.012171401
SAR,0.011976089
STOCH_slowd,0.011787028
TSF,0.011746637
PPO,0.011746261
HT_PHASOR_inphase,0.01152229
MACDFIX_signal,0.011423988
MACD_hist,0.0113972435
MAMA,0.011208084
MIDPRICE,0.0112040015
LINEARREG_ANGLE,0.011007293
PLUS_DM,0.010907311
CORREL,0.010811638
HT_SINE_sine,0.010753358
ROCR100,0.010686741
ROC,0.010609742
MACDFIX_hist,0.010576488
MOM,0.010450979
MACDEXT,0.010430466
ROCR,0.010385193
TRIX,0.010359438
MIDPOINT,0.010097774
DX,0.010049081
HT_DCPHASE,0.010003776
LINEARREG_SLOPE,0.009949031
MACD,0.009632059
SAREXT,0.009591454
TRIMA,0.0095482655
CMO,0.009378336
ROCP,0.00914998
LINEARREG_INTERCEPT,0.009133561
HT_SINE_leadsine,0.009105273
RSI,0.008910354
HT_PHASOR_quadrature,0.00890732
WMA,0.008883832
MACD_signal,0.008800541
FAMA,0.008608673
ADX,0.008287671
APO,0.00823819
T3,0.008090624
AROONOSC,0.00796855
DEMA,0.007882784
ADXR,0.0077210288
MA,0.0075677205
SMA,0.00745578
HT_TRENDLINE,0.007347644
EMA,0.007237191
HT_TRENDMODE,0.007139719
AROON_down,0.007129231
BB_MIDDLE,0.0067766607
KAMA,0.0062575634
MAVP,0.0053619607
BB_LOWER,0.0050173495
BB_UPPER,0.0047163647
Low,0.0037318806
Close,0.0036669609
Open,0.0034661435
High,0.0029303788
OBV,0.0
Wave,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_NEGATIVE,0.0
Volume,0.0
Change,0.0
Prev. Day Open Interest,0.0
ADOSC,0.0
EFP Volume,0.0
EFS Volume,0.0
Block Volume,0.0
Last,0.0
Previous Day Open Interest,0.0
MFI,0.0
AD,0.0
SENTIMENT_CONSTRAINING,0.0
