,importance
ULTOSC,0.029254735
TRANGE,0.029073885
AROON_down,0.024486298
WILLR,0.02125062
STOCHF_fastk,0.020456202
ATR,0.018251691
DEMA_Trend,0.017993592
TYPPRICE,0.017399224
AROON_up,0.016943106
WMA,0.016814897
RSI,0.015788075
MINUS_DI,0.014752929
PLUS_DI,0.014666119
TEMA,0.014506868
NATR,0.01438256
TSF,0.0142472
BETA,0.014237734
CMO,0.013979204
VAR,0.013959132
SAR,0.013958789
PLUS_DM,0.013856182
MACD_signal,0.013508443
MACDFIX,0.013271613
STDDEV,0.0128879985
ADX,0.012876106
MINUS_DM,0.012667842
LINEARREG_INTERCEPT,0.012344738
CCI,0.011996926
FAMA,0.0118444115
ROCR,0.0117747495
TRIX,0.011698981
MEDPRICE,0.011636485
WCLPRICE,0.011569498
MACDFIX_signal,0.011552535
MACDFIX_hist,0.011246292
AROONOSC,0.011203558
KAMA,0.011070662
HT_PHASOR_inphase,0.01106312
STOCHRSI_fastk,0.01104209
HT_DCPHASE,0.011040802
ROCP,0.01103815
DX,0.010786358
MACD,0.010595252
PPO,0.010295049
ROC,0.010214728
LINEARREG_SLOPE,0.010206727
LINEARREG_ANGLE,0.010198617
MACDEXT,0.010051761
AVGPRICE,0.010032791
ADXR,0.010001575
BOP,0.009972328
MIDPRICE,0.009965482
MACD_hist,0.0098000895
HT_SINE_sine,0.009693579
MACDEXT_signal,0.009546519
STOCH_slowd,0.009457532
HT_SINE_leadsine,0.00933806
MOM,0.00933573
STOCHRSI_fastd,0.009255677
MAMA,0.00922542
MACDEXT_hist,0.009047645
MA,0.009044095
MIDPOINT,0.009007159
MAVP,0.008976989
LINEARREG,0.008976191
SMA,0.0084826
STOCHF_fastd,0.008454162
CORREL,0.0081926165
HT_PHASOR_quadrature,0.008170367
SAREXT,0.008107246
BB_MIDDLE,0.008104359
APO,0.008074068
STOCH_slowk,0.008055236
HT_DCPERIOD,0.007969553
ROCR100,0.0077521703
HT_TRENDLINE,0.007277437
T3,0.007216164
DEMA,0.007045583
BB_LOWER,0.006979912
Open,0.0068661436
EMA,0.0068287943
BB_UPPER,0.006657654
Close,0.0065234494
TRIMA,0.0061884173
High,0.006152424
Low,0.005315396
HT_TRENDMODE,0.004966857
OBV,0.0
Change,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_NEGATIVE,0.0
Volume,0.0
EFP Volume,0.0
Wave,0.0
Prev. Day Open Interest,0.0
ADOSC,0.0
EFS Volume,0.0
Block Volume,0.0
Last,0.0
Previous Day Open Interest,0.0
MFI,0.0
AD,0.0
SENTIMENT_CONSTRAINING,0.0
