,importance
ULTOSC,0.04084824
AROON_up,0.03391427
AROON_down,0.020777022
STOCHF_fastk,0.019557644
DEMA_Trend,0.018883122
WILLR,0.018350217
TRIMA,0.018311296
TRANGE,0.017718842
PLUS_DI,0.016056404
MACDEXT,0.015523872
APO,0.014504731
AVGPRICE,0.01444157
MACDFIX_signal,0.014265845
PPO,0.014207554
MINUS_DI,0.014023504
STOCHRSI_fastd,0.013821217
MACD_signal,0.0138019165
MAMA,0.013797259
SMA,0.013112818
TEMA,0.012722499
MACD_hist,0.012202903
MACD,0.01219752
CCI,0.012016736
High,0.011952389
Close,0.011923918
STOCHRSI_fastk,0.011879095
STOCHF_fastd,0.011876793
HT_DCPERIOD,0.011871128
LINEARREG,0.011864123
MAVP,0.011767362
MACDFIX,0.011669937
MACDEXT_signal,0.011651589
MINUS_DM,0.011594565
STOCH_slowk,0.011559584
SAREXT,0.01154454
TRIX,0.011262044
MOM,0.011215699
MACDFIX_hist,0.011197102
ADXR,0.010901291
VAR,0.010853407
ROC,0.010763552
ADX,0.010710516
PLUS_DM,0.010633007
FAMA,0.010624237
HT_SINE_sine,0.010609878
HT_PHASOR_quadrature,0.010572813
MA,0.010542483
BB_LOWER,0.010531405
BB_MIDDLE,0.010518211
HT_TRENDLINE,0.010462698
BOP,0.01024175
CMO,0.010234322
CORREL,0.010226986
NATR,0.010060532
DEMA,0.010054599
BETA,0.009988629
BB_UPPER,0.009846425
DX,0.009771223
LINEARREG_ANGLE,0.009766079
STDDEV,0.009462063
STOCH_slowd,0.009426955
Open,0.009351594
ATR,0.009351523
Low,0.009188781
WMA,0.0090711545
LINEARREG_INTERCEPT,0.008963618
HT_PHASOR_inphase,0.008951003
EMA,0.0089443885
T3,0.00879367
HT_DCPHASE,0.008770018
SAR,0.008477616
RSI,0.008323185
ROCR,0.008253035
MIDPOINT,0.008214829
LINEARREG_SLOPE,0.008123647
ROCP,0.008071301
HT_SINE_leadsine,0.007938268
ROCR100,0.007858512
TSF,0.007789353
MEDPRICE,0.007122865
MACDEXT_hist,0.0070376243
KAMA,0.0067898957
AROONOSC,0.0065731723
MIDPRICE,0.0062918942
HT_TRENDMODE,0.0050590513
TYPPRICE,0.0
WCLPRICE,0.0
SENTIMENT_NEGATIVE,0.0
