,importance
WILLR,0.039364208
MINUS_DI,0.03570003
WMA,0.032152306
MIDPOINT,0.027201366
TRIMA,0.026033517
MINUS_DM,0.024196003
LINEARREG_SLOPE,0.024145493
LINEARREG_ANGLE,0.02310144
PPO,0.01879412
TRIX,0.01837038
RSI,0.017916156
AROONOSC,0.017391535
DX,0.017257428
ADX,0.016936334
MACDEXT,0.016316168
STOCHRSI_fastk,0.01615562
MACDEXT_signal,0.015718423
STOCHF_fastk,0.015268656
BOP,0.015167138
CCI,0.014447553
ULTOSC,0.013963287
NATR,0.01356495
CORREL,0.013522809
MACDFIX,0.013379725
HT_PHASOR_quadrature,0.013152243
VAR,0.01267229
ROCR,0.012632558
HT_DCPERIOD,0.012485435
MACD,0.012271052
TRANGE,0.012205472
MACD_signal,0.012126479
HT_DCPHASE,0.011989246
FAMA,0.011981309
ADXR,0.01193438
BB_UPPER,0.01192329
HT_SINE_sine,0.011747266
HT_PHASOR_inphase,0.011610967
AROON_down,0.011490209
AROON_up,0.011321251
CMO,0.011242393
Close,0.011092713
APO,0.01098841
BETA,0.010746124
LINEARREG_INTERCEPT,0.010602046
HT_TRENDMODE,0.010599244
MOM,0.01055268
STDDEV,0.010544944
STOCH_slowk,0.01050759
DEMA,0.010438182
SAREXT,0.010087522
HT_SINE_leadsine,0.0097050555
MEDPRICE,0.0096146865
PLUS_DI,0.009516889
Low,0.009341091
KAMA,0.009081075
ATR,0.008995414
STOCHF_fastd,0.008861218
High,0.008662216
MACDEXT_hist,0.008503474
PLUS_DM,0.008339807
MACD_hist,0.008290806
Open,0.008172762
ROC,0.007970463
STOCH_slowd,0.007734801
MAVP,0.0076751537
BB_MIDDLE,0.007628447
MACDFIX_hist,0.0074887476
STOCHRSI_fastd,0.007384485
TYPPRICE,0.007313726
BB_LOWER,0.0072813877
MACDFIX_signal,0.007060527
ROCP,0.006983677
SAR,0.0066995434
WCLPRICE,0.0062847915
TSF,0.0056045954
AVGPRICE,0.005273984
MAMA,0.0033830712
HT_TRENDLINE,0.0033542109
EMA,0.0027839758
Change,0.0
Prev. Day Open Interest,0.0
Wave,0.0
Volume,0.0
LINEARREG,0.0
DEMA_Trend,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
EFP Volume,0.0
ROCR100,0.0
EFS Volume,0.0
Block Volume,0.0
Last,0.0
Previous Day Open Interest,0.0
MA,0.0
MIDPRICE,0.0
OBV,0.0
ADOSC,0.0
AD,0.0
SMA,0.0
T3,0.0
TEMA,0.0
MFI,0.0
SENTIMENT_CONSTRAINING,0.0
