,importance
ADXR,0.12292304
CMO,0.116462186
ADX,0.116181985
HT_TRENDLINE,0.11344724
High,0.08568948
Close,0.08488462
Low,0.05979893
Open,0.059519988
TRANGE,0.051891897
AVGPRICE,0.029213177
LINEARREG_ANGLE,0.021733947
MACDFIX_hist,0.018737381
MACD_hist,0.017863106
LINEARREG_SLOPE,0.017721727
BB_LOWER,0.01724403
MACDEXT_hist,0.016341751
CCI,0.015771136
MINUS_DI,0.014966228
MINUS_DM,0.0070488504
BB_UPPER,0.003806125
TEMA,0.001816159
TRIX,0.0015712107
SAR,0.0011415384
APO,0.00092923956
ROC,0.00063131674
HT_DCPHASE,0.0006204546
ATR,0.00043867787
BOP,0.00027100986
LINEARREG_INTERCEPT,0.00023864117
AROON_down,0.00020567318
SAREXT,0.00020540123
MIDPRICE,0.00017857984
PLUS_DI,0.0001618975
DX,0.00012693348
STOCHF_fastk,8.077193e-05
MACDEXT,4.6358888e-05
PPO,4.5424433e-05
AROONOSC,4.3939097e-05
HT_SINE_sine,0.0
WILLR,0.0
HT_PHASOR_quadrature,0.0
HT_PHASOR_inphase,0.0
HT_DCPERIOD,0.0
Prev. Day Open Interest,0.0
AD,0.0
NATR,0.0
OBV,0.0
ADOSC,0.0
HT_TRENDMODE,0.0
HT_SINE_leadsine,0.0
EMA,0.0
Wave,0.0
MEDPRICE,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_NEGATIVE,0.0
DEMA_Trend,0.0
VAR,0.0
TSF,0.0
STDDEV,0.0
Volume,0.0
Change,0.0
LINEARREG,0.0
ULTOSC,0.0
BETA,0.0
WCLPRICE,0.0
TYPPRICE,0.0
CORREL,0.0
ROCR100,0.0
STOCHRSI_fastd,0.0
TRIMA,0.0
MACD,0.0
Previous Day Open Interest,0.0
AROON_up,0.0
BB_MIDDLE,0.0
DEMA,0.0
WMA,0.0
T3,0.0
Last,0.0
SMA,0.0
MIDPOINT,0.0
MAVP,0.0
FAMA,0.0
MAMA,0.0
MA,0.0
MACD_signal,0.0
MACDEXT_signal,0.0
STOCHRSI_fastk,0.0
ROCP,0.0
STOCHF_fastd,0.0
STOCH_slowd,0.0
STOCH_slowk,0.0
RSI,0.0
KAMA,0.0
ROCR,0.0
PLUS_DM,0.0
Block Volume,0.0
MOM,0.0
EFP Volume,0.0
MFI,0.0
EFS Volume,0.0
MACDFIX_signal,0.0
MACDFIX,0.0
SENTIMENT_CONSTRAINING,0.0
