,importance
BOP,0.10040802
STOCHRSI_fastk,0.032747038
Change,0.025558425
TYPPRICE,0.025420284
AVGPRICE,0.022205364
WILLR,0.02105288
STOCHF_fastk,0.019795284
MEDPRICE,0.01935833
TRANGE,0.019216908
STOCH_slowd,0.017814359
MIDPOINT,0.01674602
MIDPRICE,0.016690435
WCLPRICE,0.01653174
TEMA,0.016473511
Close,0.014834211
MAVP,0.013151732
Open,0.012078611
MAMA,0.011997987
High,0.011153918
T3,0.010865227
BB_UPPER,0.01080202
STOCH_slowk,0.010014184
Previous Day Open Interest,0.009688485
Low,0.009416342
AROON_up,0.009383429
BETA,0.009360669
SMA,0.009322443
ADOSC,0.009194248
STOCHRSI_fastd,0.009039724
MACDEXT,0.008762304
MACDFIX_hist,0.008732655
LINEARREG,0.00872784
OBV,0.008643746
DEMA_Trend,0.008617297
DEMA,0.008558878
LINEARREG_INTERCEPT,0.008505978
MFI,0.008500226
SAR,0.008409372
MA,0.008408243
ULTOSC,0.008109187
PLUS_DI,0.008093137
CMO,0.008032798
PLUS_DM,0.007967073
RSI,0.007919922
STOCHF_fastd,0.00791989
BB_LOWER,0.007891617
ATR,0.007877849
BB_MIDDLE,0.007874492
Volume,0.0077708904
STDDEV,0.0077479333
Last,0.007743675
APO,0.0077332705
NATR,0.007718914
VAR,0.0076866974
HT_DCPERIOD,0.007550439
MACD_signal,0.0075442805
MINUS_DI,0.007496348
LINEARREG_SLOPE,0.007438743
FAMA,0.0074341367
HT_SINE_sine,0.0073417947
CCI,0.0073262067
TRIMA,0.0072974367
MACDEXT_signal,0.007282857
AROON_down,0.00724069
TSF,0.0071330904
ROCR100,0.007088808
AROONOSC,0.007045156
AD,0.0070120785
TRIX,0.006952463
DX,0.006949658
MACD,0.006941241
KAMA,0.0069387355
MACD_hist,0.0068802163
LINEARREG_ANGLE,0.006863315
SAREXT,0.0068593198
EMA,0.0068345643
PPO,0.006824412
MINUS_DM,0.006804459
HT_TRENDLINE,0.006779372
HT_PHASOR_quadrature,0.006775701
MACDFIX_signal,0.006700082
CORREL,0.006661582
MACDFIX,0.006651635
HT_DCPHASE,0.00661164
ADX,0.006569691
MACDEXT_hist,0.006432543
ADXR,0.0062546837
HT_PHASOR_inphase,0.006113806
HT_SINE_leadsine,0.006081987
ROC,0.0060727876
MOM,0.0060574524
ROCP,0.0060134213
ROCR,0.004867509
HT_TRENDMODE,0.0
Block Volume,0.0
WMA,0.0
EFS Volume,0.0
EFP Volume,0.0
Prev. Day Open Interest,0.0
Wave,0.0
SENTIMENT_NEGATIVE,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_CONSTRAINING,0.0
