,importance
TSF,0.02452001
ADX,0.0215547
MAMA,0.019555278
MIDPRICE,0.018826628
MIDPOINT,0.017553907
LINEARREG_SLOPE,0.017394098
TYPPRICE,0.017270995
SAREXT,0.016942201
T3,0.016915051
LINEARREG_ANGLE,0.01604157
MA,0.015948435
EMA,0.015844604
WMA,0.015172315
LINEARREG,0.01501664
PPO,0.015012456
AROON_up,0.015009046
MAVP,0.014856828
ULTOSC,0.013788962
MEDPRICE,0.0133392
MACDFIX_hist,0.013257142
ADXR,0.013225624
MACD_signal,0.012985417
MACDEXT_hist,0.012970307
PLUS_DM,0.01223923
HT_PHASOR_inphase,0.012223959
Close,0.0121592665
SMA,0.012145836
KAMA,0.01214321
TRIMA,0.012086999
ATR,0.012051445
ROCP,0.0119954385
APO,0.011755956
SAR,0.011534556
MACDEXT,0.0115062045
MACD,0.011285178
TEMA,0.011259476
WILLR,0.011252681
WCLPRICE,0.011178385
HT_TRENDLINE,0.011173113
MACD_hist,0.01117232
NATR,0.011078012
TRIX,0.011005547
LINEARREG_INTERCEPT,0.010895595
HT_SINE_leadsine,0.010762505
PLUS_DI,0.010736479
AROONOSC,0.010707131
VAR,0.010672221
MINUS_DM,0.010641254
HT_TRENDMODE,0.010612323
STOCHF_fastk,0.010508714
CCI,0.010476657
FAMA,0.010416884
CORREL,0.010197069
MACDFIX_signal,0.0099823065
ROC,0.009982083
BB_LOWER,0.009960202
HT_PHASOR_quadrature,0.009949535
MOM,0.00981122
MINUS_DI,0.009738208
TRANGE,0.0097043235
BETA,0.009684999
HT_SINE_sine,0.009653436
ROCR,0.00955037
STOCHF_fastd,0.009497674
CMO,0.009446167
STOCH_slowk,0.009403454
DEMA,0.009401915
STOCHRSI_fastk,0.009392527
STDDEV,0.009361152
HT_DCPERIOD,0.009336436
RSI,0.009165269
MACDEXT_signal,0.009058574
STOCH_slowd,0.008987754
MACDFIX,0.008691988
HT_DCPHASE,0.008655484
BOP,0.008626289
BB_MIDDLE,0.00857676
DX,0.008282145
High,0.008253385
BB_UPPER,0.007822935
Low,0.007489174
Open,0.0070257685
STOCHRSI_fastd,0.0068456433
AROON_down,0.0064157736
AVGPRICE,0.0061729914
DEMA_Trend,0.0051989323
OBV,0.0
Wave,0.0
SENTIMENT_WEAK_MODAL,0.0
SENTIMENT_STRONG_MODAL,0.0
SENTIMENT_LITIGIOUS,0.0
SENTIMENT_UNCERTAINTY,0.0
SENTIMENT_POSITIVE,0.0
SENTIMENT_NEGATIVE,0.0
Volume,0.0
Change,0.0
EFP Volume,0.0
Prev. Day Open Interest,0.0
ADOSC,0.0
EFS Volume,0.0
Block Volume,0.0
Last,0.0
Previous Day Open Interest,0.0
MFI,0.0
ROCR100,0.0
AD,0.0
SENTIMENT_CONSTRAINING,0.0
