,importance
MACDFIX,0.07944763
MACDEXT,0.07944763
MACDFIX_signal,0.079141706
MACDEXT_signal,0.079141706
HT_DCPERIOD,0.07870694
TRIX,0.07864201
APO,0.07829577
MACD,0.07811596
MACD_signal,0.078098975
HT_PHASOR_quadrature,0.077192076
STDDEV,0.07691449
SAREXT,0.019179597
DX,0.014849518
MINUS_DM,0.013104575
TYPPRICE,0.01257221
TRANGE,0.012535376
MEDPRICE,0.012517169
ULTOSC,0.012496577
AVGPRICE,0.012458386
WCLPRICE,0.011785985
Close,0.006123142
Low,0.0032913587
Open,0.0016794626
BOP,0.001388541
DEMA,0.0009373209
High,0.00063498766
AROON_up,0.0005275476
STOCHF_fastk,0.00039235578
WILLR,0.00038095773
LINEARREG_ANGLE,0.0
LINEARREG_INTERCEPT,0.0
BETA,0.0
LINEARREG,0.0
HT_TRENDMODE,0.0
CORREL,0.0
DEMA_Trend,0.0
LINEARREG_SLOPE,0.0
RSI,0.0
TSF,0.0
VAR,0.0
STOCH_slowk,0.0
ADXR,0.0
STOCHRSI_fastd,0.0
STOCHRSI_fastk,0.0
AROON_down,0.0
STOCHF_fastd,0.0
AROONOSC,0.0
CMO,0.0
STOCH_slowd,0.0
MINUS_DI,0.0
PLUS_DI,0.0
ADX,0.0
ATR,0.0
HT_SINE_leadsine,0.0
MAMA,0.0
SMA,0.0
SAR,0.0
MIDPRICE,0.0
MIDPOINT,0.0
MAVP,0.0
FAMA,0.0
MA,0.0
TEMA,0.0
KAMA,0.0
HT_TRENDLINE,0.0
EMA,0.0
BB_LOWER,0.0
BB_MIDDLE,0.0
BB_UPPER,0.0
T3,0.0
TRIMA,0.0
HT_SINE_sine,0.0
ROC,0.0
HT_PHASOR_inphase,0.0
HT_DCPHASE,0.0
NATR,0.0
ROCR100,0.0
ROCR,0.0
ROCP,0.0
PPO,0.0
WMA,0.0
PLUS_DM,0.0
MOM,0.0
MACDFIX_hist,0.0
MACDEXT_hist,0.0
MACD_hist,0.0
CCI,0.0
SENTIMENT_NEGATIVE,0.0
