,importance
ULTOSC,0.0440353
AROON_up,0.03851123
TEMA,0.03373749
LINEARREG,0.023798078
STOCHF_fastk,0.020618098
SMA,0.02008465
TRANGE,0.01898372
T3,0.018863609
CCI,0.017138507
MACD_hist,0.016534079
High,0.015876146
AROON_down,0.015706401
WILLR,0.0152779985
FAMA,0.014654512
CMO,0.014642237
SAREXT,0.014424746
VAR,0.01404094
NATR,0.013956378
MIDPOINT,0.0129762385
PLUS_DI,0.012871489
BB_UPPER,0.012765844
LINEARREG_ANGLE,0.01267392
MAMA,0.012372799
ATR,0.012245669
ROC,0.012093859
MINUS_DM,0.011963966
LINEARREG_SLOPE,0.011892604
HT_DCPERIOD,0.011603716
MACD_signal,0.011396986
MACDFIX_hist,0.011344968
Open,0.011251247
Close,0.0111338
Low,0.011082623
MACD,0.0110696005
BETA,0.011033014
TRIX,0.011005011
MINUS_DI,0.0107833855
PLUS_DM,0.010768493
CORREL,0.0106143765
DX,0.010613281
RSI,0.01048508
ROCP,0.0103093125
STOCH_slowk,0.010213347
STDDEV,0.010006614
MACDEXT_signal,0.0099883275
MACDEXT,0.009943769
MOM,0.009881267
STOCHRSI_fastd,0.009880958
ADXR,0.009842842
TSF,0.009708683
WMA,0.009678142
HT_TRENDMODE,0.009632736
APO,0.0094994195
STOCH_slowd,0.009212376
AVGPRICE,0.009161943
HT_PHASOR_quadrature,0.009053949
MACDFIX_signal,0.00904683
TRIMA,0.00894453
MA,0.008922671
KAMA,0.008894862
MACDEXT_hist,0.0087863635
ADX,0.008737208
HT_PHASOR_inphase,0.008683281
MACDFIX,0.0086310785
HT_DCPHASE,0.008409502
STOCHRSI_fastk,0.008395526
MIDPRICE,0.008346465
HT_SINE_leadsine,0.008191467
DEMA,0.008088447
PATTERN_SUM,0.008044269
SAR,0.008023179
HT_SINE_sine,0.007967985
MAVP,0.007919162
ROCR,0.007908984
AROONOSC,0.007385314
BOP,0.0072905216
PPO,0.006988483
LINEARREG_INTERCEPT,0.006512611
STOCHF_fastd,0.0064414996
BB_LOWER,0.0063849883
HT_TRENDLINE,0.006364258
EMA,0.006057937
MEDPRICE,0.0058831824
BB_MIDDLE,0.0058096703
ROCR100,0.0
TYPPRICE,0.0
WCLPRICE,0.0
