,importance
AROON_up,0.04739687
T3,0.037526716
WILLR,0.036368176
ULTOSC,0.033689376
AROON_down,0.032520294
HT_TRENDLINE,0.031280275
TSF,0.02652816
MA,0.025740035
TRANGE,0.02487729
BB_MIDDLE,0.024616173
TEMA,0.024340786
MIDPRICE,0.02185001
MACDEXT_signal,0.02174595
STOCHF_fastk,0.021481385
PLUS_DI,0.018038537
Low,0.017401336
LINEARREG_INTERCEPT,0.016031755
RSI,0.014913048
LINEARREG,0.014857043
ATR,0.014495463
STDDEV,0.013929965
BB_LOWER,0.013697949
CCI,0.01337982
Open,0.01326326
High,0.013113066
ROC,0.0129897855
MACDEXT,0.012788742
PLUS_DM,0.01240831
NATR,0.012095314
MINUS_DM,0.012087291
MACD_signal,0.0120744
STOCH_slowk,0.01158237
BB_UPPER,0.01133264
KAMA,0.011230666
MACDFIX_hist,0.010977721
MAMA,0.010940648
STOCHRSI_fastk,0.010907509
MACD,0.010536962
DX,0.010186421
HT_SINE_sine,0.010038769
MACDEXT_hist,0.009926342
EMA,0.00990293
MINUS_DI,0.009859672
WMA,0.009847523
BETA,0.009771098
APO,0.009603699
CMO,0.009194859
TRIX,0.009038305
HT_PHASOR_inphase,0.0088547105
BOP,0.008504238
PATTERN_SUM,0.008345414
AROONOSC,0.008331001
MOM,0.00807166
SAREXT,0.0077420063
HT_DCPERIOD,0.0075357244
MACD_hist,0.007224186
ADX,0.0071375547
PPO,0.0070638247
STOCH_slowd,0.00696566
ADXR,0.006870972
MEDPRICE,0.0067419494
AVGPRICE,0.006610284
HT_SINE_leadsine,0.006493492
STOCHRSI_fastd,0.0064285225
CORREL,0.0058696386
SAR,0.005758208
MAVP,0.0055171764
LINEARREG_ANGLE,0.005303711
DEMA,0.0051055066
Close,0.0050813756
HT_DCPHASE,0.0048442427
HT_PHASOR_quadrature,0.004731999
VAR,0.004478638
MACDFIX_signal,0.004089732
TYPPRICE,0.0040528267
FAMA,0.0038409138
TRIMA,0.0
SMA,0.0
MACDFIX,0.0
MIDPOINT,0.0
LINEARREG_SLOPE,0.0
ROCP,0.0
STOCHF_fastd,0.0
ROCR,0.0
ROCR100,0.0
WCLPRICE,0.0
HT_TRENDMODE,0.0
