,importance
STOCHF_fastd,0.0366645
PLUS_DM,0.019520646
Open,0.016195223
Change,0.01600682
TEMA,0.015866362
STOCHF_fastk,0.015670538
PPO,0.01555236
WMA,0.01553434
Wave,0.015056836
MOM,0.01498492
MACDEXT_hist,0.014701912
Previous Day Open Interest,0.014572154
MINUS_DI,0.0142358225
AD,0.014198469
MACDFIX_signal,0.014164367
LINEARREG_ANGLE,0.014118801
ADOSC,0.013828688
PLUS_DI,0.0137580205
STOCHRSI_fastd,0.013373293
MINUS_DM,0.01305232
OBV,0.01304574
ATR,0.01299103
MACDFIX,0.012986533
HT_SINE_leadsine,0.012948835
BB_LOWER,0.012891328
Low,0.012740431
STOCH_slowk,0.01270336
SAREXT,0.012694179
MAVP,0.012661924
EFS Volume,0.012655214
Close,0.012462939
CCI,0.012321654
MACD_hist,0.012281979
HT_TRENDMODE,0.012026847
TRIX,0.01179324
HT_PHASOR_inphase,0.011728009
MIDPRICE,0.011696635
TRANGE,0.011625395
HT_DCPERIOD,0.011590705
MFI,0.011460203
STDDEV,0.01136306
APO,0.011306294
AROON_down,0.011303185
MACD_signal,0.011264279
AROONOSC,0.0111068655
BOP,0.011090937
T3,0.011087875
MACD,0.010990527
NATR,0.010975226
MA,0.010928962
HT_DCPHASE,0.010914086
STOCH_slowd,0.010829459
TSF,0.010751932
HT_PHASOR_quadrature,0.010725819
BB_MIDDLE,0.010656168
CORREL,0.010641835
EFP Volume,0.010570491
MACDEXT_signal,0.010535508
PATTERN_SUM,0.010512277
ADX,0.0104957735
High,0.0103906095
DEMA,0.0103896735
SAR,0.010330936
ADXR,0.010133491
CMO,0.010000916
MAMA,0.009968992
BB_UPPER,0.009811277
Volume,0.009730064
ROC,0.009728578
ULTOSC,0.009545261
HT_SINE_sine,0.009299967
VAR,0.009214249
LINEARREG,0.009208185
STOCHRSI_fastk,0.0090197185
BETA,0.009004183
MACDEXT,0.008778467
MACDFIX_hist,0.008570479
AROON_up,0.0084439935
DX,0.008389489
EMA,0.008080759
LINEARREG_INTERCEPT,0.0074237436
MEDPRICE,0.0070770145
MIDPOINT,0.0063089426
KAMA,0.0047379443
ROCR,0.0
TYPPRICE,0.0
ROCP,0.0
Block Volume,0.0
AVGPRICE,0.0
WILLR,0.0
HT_TRENDLINE,0.0
WCLPRICE,0.0
SMA,0.0
RSI,0.0
FAMA,0.0
LINEARREG_SLOPE,0.0
TRIMA,0.0
ROCR100,0.0
