,importance
MACDFIX_signal,0.09801328
ULTOSC,0.04400391
AROON_up,0.030838886
ADX,0.029426966
BETA,0.028573932
STOCHF_fastk,0.028437646
KAMA,0.02325872
STOCHRSI_fastd,0.020936886
AROON_down,0.020691367
TRANGE,0.019672988
APO,0.019597327
WILLR,0.019028336
CCI,0.018902278
HT_PHASOR_quadrature,0.018873379
T3,0.016766751
LINEARREG_ANGLE,0.016758682
RSI,0.016609484
LINEARREG_SLOPE,0.016330415
ROC,0.016289186
MA,0.01628083
STOCHRSI_fastk,0.015756639
ATR,0.0154518625
PLUS_DI,0.015144186
MACD_hist,0.015074138
MOM,0.015025761
HT_DCPERIOD,0.014743689
EMA,0.014724971
Open,0.014338277
ROCP,0.014045939
CMO,0.013036059
HT_PHASOR_inphase,0.01259949
HT_SINE_leadsine,0.01224293
MINUS_DM,0.012232948
MACD,0.011895919
MACDFIX_hist,0.011458194
MAVP,0.011444106
BB_MIDDLE,0.011330491
PLUS_DM,0.011312741
LINEARREG_INTERCEPT,0.011048154
MACDEXT_hist,0.01084323
SAREXT,0.010633064
TEMA,0.010088334
TRIX,0.009969956
NATR,0.009887429
ADXR,0.009499237
MACD_signal,0.009117867
CORREL,0.009080223
SAR,0.00891842
HT_SINE_sine,0.008794712
STOCH_slowk,0.008750941
VAR,0.0086632315
DX,0.00830909
MACDEXT,0.00814301
TRIMA,0.0077981898
MINUS_DI,0.007569703
PPO,0.0074495296
MACDEXT_signal,0.0069227275
High,0.0067289774
BB_LOWER,0.006706709
MIDPOINT,0.006644471
BB_UPPER,0.0065680793
Low,0.0064278403
HT_DCPHASE,0.0063530453
STOCH_slowd,0.006228372
STDDEV,0.0061583347
Close,0.006077269
ROCR,0.004740356
BOP,0.004729879
LINEARREG,0.0
HT_TRENDLINE,0.0
HT_TRENDMODE,0.0
STOCHF_fastd,0.0
DEMA,0.0
MACDFIX,0.0
MAMA,0.0
WMA,0.0
AVGPRICE,0.0
FAMA,0.0
AROONOSC,0.0
MIDPRICE,0.0
MEDPRICE,0.0
ROCR100,0.0
TYPPRICE,0.0
TSF,0.0
SMA,0.0
WCLPRICE,0.0
PATTERN_SUM,0.0
