,importance
BOP,0.03539852
PATTERN_SUM,0.031244699
BB_MIDDLE,0.028552301
STOCHF_fastk,0.024756692
WILLR,0.023421101
TRIMA,0.019395163
HT_SINE_leadsine,0.019270621
MINUS_DM,0.018887242
FAMA,0.018457767
RSI,0.017480683
CCI,0.017221566
LINEARREG_SLOPE,0.016933262
STOCHRSI_fastk,0.01629843
TRIX,0.016215073
LINEARREG_ANGLE,0.015973546
CMO,0.015957326
VAR,0.015891809
HT_DCPHASE,0.015679972
TRANGE,0.015607069
STOCH_slowk,0.014708714
STOCH_slowd,0.014677262
MINUS_DI,0.01447628
SAREXT,0.014437767
MACDEXT_hist,0.013701272
AROONOSC,0.013631528
ULTOSC,0.013614933
BB_LOWER,0.013463329
STDDEV,0.013230145
DEMA,0.013020582
Close,0.012918265
HT_PHASOR_inphase,0.012760103
MACDEXT_signal,0.012752344
High,0.012688114
APO,0.012611931
MACDFIX_signal,0.012586416
PLUS_DM,0.012485115
SAR,0.011996403
LINEARREG_INTERCEPT,0.0119138
MA,0.011887406
CORREL,0.011856656
BB_UPPER,0.011744793
ROC,0.011521877
MAVP,0.011350741
WCLPRICE,0.011196791
KAMA,0.011086238
HT_SINE_sine,0.011058303
MACD_signal,0.010947122
AROON_up,0.010819839
HT_PHASOR_quadrature,0.010540014
HT_TRENDLINE,0.010496867
NATR,0.010481966
DX,0.010310409
ATR,0.0097371675
Low,0.009468442
AVGPRICE,0.009462481
STOCHRSI_fastd,0.009408408
BETA,0.009326481
MIDPRICE,0.009158956
Open,0.009056529
MACD_hist,0.008950244
MIDPOINT,0.008908901
MACD,0.0087910835
TEMA,0.0087655485
HT_DCPERIOD,0.008584089
MACDFIX,0.0085646
AROON_down,0.008543739
MAMA,0.007909181
ROCP,0.0078123542
PLUS_DI,0.007580746
ADXR,0.0072985776
MACDFIX_hist,0.00717701
MOM,0.00713122
EMA,0.0070438227
STOCHF_fastd,0.0065619242
PPO,0.006518545
ADX,0.006469235
WMA,0.0060774037
TSF,0.006077077
MACDEXT,0.0
ROCR100,0.0
LINEARREG,0.0
T3,0.0
SMA,0.0
TYPPRICE,0.0
HT_TRENDMODE,0.0
MEDPRICE,0.0
ROCR,0.0
