,importance
MOM,0.13233891
ROC,0.10354825
LINEARREG,0.08875652
HT_SINE_leadsine,0.0679671
MACDFIX_signal,0.057569023
SAR,0.03987834
Close,0.037812848
HT_TRENDLINE,0.03693791
ADXR,0.028113157
MACD_hist,0.026754064
ATR,0.024201194
MACDFIX_hist,0.023901248
BB_LOWER,0.023833154
Open,0.023395382
MAVP,0.022000408
BB_UPPER,0.020668454
KAMA,0.020379273
High,0.0166772
CMO,0.014157973
BB_MIDDLE,0.014012817
ULTOSC,0.013823732
ROCP,0.012949313
MACD_signal,0.009940279
MAMA,0.009883749
STOCH_slowd,0.008032209
CCI,0.006693575
HT_DCPHASE,0.006552485
PATTERN_SUM,0.0061027785
STOCHRSI_fastd,0.0059566423
TRANGE,0.005194784
Low,0.0051266835
HT_PHASOR_inphase,0.005090156
BETA,0.004207281
MACDEXT_hist,0.0037761296
SAREXT,0.003455102
STOCH_slowk,0.0033944268
APO,0.0032912232
MACD,0.0032909212
STOCHF_fastk,0.0031598618
HT_PHASOR_quadrature,0.0031515788
TSF,0.0030913642
WCLPRICE,0.0028112172
AROON_up,0.0027195774
CORREL,0.0026302238
LINEARREG_ANGLE,0.0024926388
LINEARREG_INTERCEPT,0.0023389198
EMA,0.0023030571
SMA,0.0022212872
HT_SINE_sine,0.002085242
RSI,0.0020217635
BOP,0.0017530009
DX,0.0017348401
MINUS_DI,0.001727051
PLUS_DI,0.001696103
PPO,0.0015789459
MINUS_DM,0.0014884158
ADX,0.0014770362
NATR,0.0014746089
VAR,0.0014366128
TRIMA,0.001433446
WILLR,0.0013844364
PLUS_DM,0.0013314169
STDDEV,0.0012254977
AROON_down,0.0012237312
MACDEXT_signal,0.0012054436
MACDFIX,0.0012009313
TRIX,0.0011562702
AROONOSC,0.0010504669
MA,0.0008562916
TEMA,0.0007841638
MACDEXT,0.00077638094
HT_DCPERIOD,0.0006576965
AVGPRICE,0.0006557954
TYPPRICE,0.0
T3,0.0
HT_TRENDMODE,0.0
ROCR,0.0
ROCR100,0.0
FAMA,0.0
STOCHF_fastd,0.0
STOCHRSI_fastk,0.0
MEDPRICE,0.0
DEMA,0.0
LINEARREG_SLOPE,0.0
MIDPRICE,0.0
MIDPOINT,0.0
WMA,0.0
