,importance
ULTOSC,0.04285629
T3,0.028449172
AROON_down,0.025258737
AROON_up,0.02287801
DEMA,0.02232913
TRANGE,0.022241456
SAREXT,0.022134148
MAVP,0.021218453
STOCHF_fastk,0.019934362
RSI,0.019693185
WILLR,0.01967388
HT_TRENDLINE,0.019668262
LINEARREG,0.019268643
MINUS_DI,0.017561687
WMA,0.01706185
MACD_hist,0.016547583
PLUS_DI,0.015951473
Close,0.015655309
CCI,0.015431676
CMO,0.01540986
BB_LOWER,0.015368159
MA,0.014595534
MINUS_DM,0.014573562
TSF,0.014372377
ROC,0.014338611
Open,0.014001951
STOCH_slowk,0.013483867
APO,0.013460734
MACD,0.013441279
TRIX,0.013391375
MIDPOINT,0.013355671
PLUS_DM,0.013112537
NATR,0.013047235
EMA,0.012735022
MACDEXT,0.012724638
SMA,0.01251071
BB_UPPER,0.012345675
ROCR,0.012185894
MACDFIX_hist,0.012171107
STOCHRSI_fastk,0.012037678
DX,0.011814348
HT_DCPERIOD,0.011618809
ATR,0.0115427915
ADX,0.011541039
LINEARREG_SLOPE,0.01132086
MACDEXT_signal,0.011071705
HT_PHASOR_quadrature,0.01084051
HT_PHASOR_inphase,0.01056234
MACD_signal,0.01033914
ADXR,0.010213882
STOCH_slowd,0.010111541
CORREL,0.010015794
KAMA,0.009936009
STDDEV,0.009841688
VAR,0.009683007
SAR,0.009679564
MACDFIX,0.009552632
HT_SINE_sine,0.009276438
BETA,0.009019932
MACDEXT_hist,0.008990017
PPO,0.008805552
BB_MIDDLE,0.008760251
LINEARREG_INTERCEPT,0.008521923
STOCHF_fastd,0.008363651
BOP,0.008274563
LINEARREG_ANGLE,0.008229255
HT_DCPHASE,0.00821218
MOM,0.007886337
High,0.0076979115
HT_SINE_leadsine,0.0076523297
STOCHRSI_fastd,0.0069470685
TRIMA,0.005790894
PATTERN_SUM,0.0057840627
Low,0.005625218
MAMA,0.0
FAMA,0.0
AROONOSC,0.0
MIDPRICE,0.0
WCLPRICE,0.0
TYPPRICE,0.0
MEDPRICE,0.0
AVGPRICE,0.0
ROCR100,0.0
ROCP,0.0
HT_TRENDMODE,0.0
MACDFIX_signal,0.0
TEMA,0.0
